country_code,country,population_2020,overall_performance,factor_knowledge,factor_technology,factor_future_readiness,subfact_know_talent,subfact_know_training_education,subfact_know_scientific_concentration,subfact_tech_regulatory_framework,subfact_tech_capital,subfact_tech_technological_framework,subfact_fr_adaptive_attitudes,subfact_fr_business_agility,subfact_fr_it_integration,gini_value,gini_year,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
AF,Afghanistan,38928000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,6675,3,0,0,0,0,14,2,14,14,12,12,0,0,14,2,0,12,14,12,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,165,166,136,0,0,0,68,3,0,0,103,103,0,0,0,0,0,0,1,0,19,10,10,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1,1,2,2,2,0,9,104,204,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,153,0,154,0,0,19,8,21,10,19,18,2,2,0,0,0,0,0,75,77,77,77,77,1,0,0,2,0,0,0,0,0,0,0,0,0,3,88,0,0,202,5,0,39,39,39,260,86,0,24,82,17,82,1,0,0,0,96,0,82,13,225,0,0,0,0,0,1108,2,2,77,77,34,59,87,0,0,0,0,0,0,0,1,84,0,0,19,0,0,0,0,0,0,1,18,0,0,5,0,4,0,15,105,105,105,16,3,233,11,0,0,2,0,0,3,0,0,8,8,13,14,14,14,0,3,0,0,0,2,0,2,0,0,0,0,0,2,0,10,21,11,0,0,0,0,1,1,1,0,0,0,0,0,0,3,3,82,0,0,0,0,0,0,0,0,0,85,85,25,85,85,0,1,88,88,88,13,88,19,0,0,0,0,0,38,0,0,4,0,3
AX,Aland Islands,29013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,2219,0,0,0,0,0,2,0,2,2,2,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94,18,0,0,0,21,0,0,0,56,56,0,0,0,0,0,0,0,0,15,11,11,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,56,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,75,0,75,0,0,12,0,13,1,12,11,0,0,0,0,0,0,0,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,94,2,0,19,19,19,104,54,0,4,23,2,23,0,0,0,0,10,0,24,2,97,0,0,0,0,0,28,0,0,21,21,5,19,27,0,0,0,0,0,0,0,4,25,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,66,66,66,11,9,106,1,0,0,0,0,0,1,0,0,1,1,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,12,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,26,26,6,26,26,0,0,26,26,26,4,26,2,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,2878000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.2,2017,36744,2,2,0,0,0,13,5,13,13,5,8,0,0,13,11,5,11,13,8,0,0,0,2,0,0,0,0,0,0,0,6,0,11,4,0,0,1809,1809,586,0,0,0,400,2,0,0,628,628,0,0,0,0,0,0,24,19,197,162,162,165,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,5,16,0,0,11,11,14,11,11,8,47,628,2095,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,10,1686,2,1695,0,0,174,3,181,8,174,167,4,4,1,2,3,2,4,418,420,420,421,421,11,4,4,14,0,0,0,0,0,0,0,0,0,0,312,0,0,1810,6,2,119,119,119,2230,304,0,23,432,11,432,0,0,0,0,415,4,434,40,1875,0,0,0,0,0,1330,4,4,425,424,59,411,461,4,4,4,4,4,4,4,11,439,0,0,176,0,0,0,0,0,0,7,16,0,1,11,0,4,0,50,385,385,385,67,27,1900,78,0,0,5,0,0,5,0,0,25,25,31,33,33,33,2,1,0,0,0,7,3,7,0,0,0,3,0,5,0,13,187,174,5,5,0,0,11,11,11,0,0,0,0,1,1,0,1,438,0,0,0,0,0,0,0,4,1,454,454,43,454,453,0,11,487,487,487,29,487,29,0,0,0,0,7,94,0,0,6,0,3
DZ,Algeria,43851000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.6,2011,36174,0,2,0,0,0,25,24,25,25,0,1,0,0,25,27,5,3,25,1,0,0,0,2,0,0,0,0,0,0,0,7,0,25,17,0,0,957,957,331,0,0,0,749,0,0,0,711,710,0,0,0,0,0,0,91,81,226,196,189,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,6,6,0,26,0,0,20,20,25,22,22,20,115,701,1115,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,815,7,839,0,0,178,9,209,38,178,174,15,15,0,2,3,2,2,732,735,735,735,735,20,2,2,25,0,0,0,0,0,0,0,0,9,2,505,0,0,959,9,4,114,114,114,1273,486,0,26,746,11,746,3,0,0,0,255,2,746,61,1053,0,0,0,0,0,477,15,15,379,378,119,356,433,4,4,4,4,4,4,4,13,724,0,0,166,0,0,0,0,0,0,0,17,0,6,8,0,2,0,93,667,667,667,155,95,1124,99,0,1,2,0,0,7,0,0,46,46,58,81,82,82,0,7,0,0,0,13,0,15,0,0,0,3,0,2,0,63,227,164,0,0,0,0,13,13,13,0,0,0,0,7,7,0,7,729,0,0,0,0,0,0,0,5,1,758,758,40,758,758,2,21,803,803,804,56,804,36,0,0,0,0,6,97,0,0,6,0,22
AS,American Samoa,55000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,503,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,8,0,0,0,6,0,0,0,19,19,0,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,5,0,5,0,5,5,0,0,0,2,2,2,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,17,0,2,0,0,0,30,4,0,0,6,0,6,0,0,0,0,2,0,6,2,19,0,0,0,0,0,1,0,0,5,5,0,5,5,2,2,2,2,2,2,2,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,6,6,0,6,6,0,0,6,6,6,0,6,0,0,0,0,0,2,0,0,0,0,0,0
AD,Andorra,77000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,2423,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,73,73,50,0,0,0,24,0,0,0,53,53,0,0,0,0,0,0,1,0,10,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,11,0,0,0,0,1,0,0,0,16,52,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,59,0,0,7,0,11,4,7,7,0,0,0,0,0,0,0,27,29,29,29,29,0,0,0,2,0,0,0,0,0,0,0,0,0,0,45,0,0,72,0,0,13,13,13,92,42,0,4,28,2,28,0,0,0,0,18,0,28,0,82,0,0,0,0,0,261,0,0,28,28,11,24,32,0,0,0,0,0,0,0,4,28,0,0,7,0,0,0,0,0,0,0,2,0,1,5,0,1,0,5,55,55,55,8,8,90,20,0,0,0,0,0,1,0,0,4,4,4,4,4,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,12,7,0,0,0,0,4,4,4,0,0,0,0,1,1,0,1,29,0,0,0,0,0,0,0,0,0,30,30,6,31,31,0,0,36,36,36,5,36,6,0,0,0,0,0,6,0,0,0,0,0
AO,Angola,32866000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.3,2018,7116,0,0,0,0,0,11,5,11,11,6,6,0,0,11,5,0,6,11,6,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,0,0,224,224,147,0,0,0,61,0,0,0,123,123,0,0,0,0,0,0,8,6,52,45,45,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,6,209,0,0,5,5,5,5,5,5,15,121,230,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,168,2,170,0,0,54,1,72,19,54,47,1,1,0,0,0,0,0,65,65,65,65,65,5,0,0,5,0,0,0,0,0,0,0,0,0,0,116,0,0,223,2,0,54,54,54,288,112,0,9,68,6,68,0,0,0,0,118,0,71,28,263,0,0,0,0,0,141,1,1,69,68,26,59,82,0,0,0,0,0,0,0,9,76,0,0,55,0,0,0,0,0,0,0,7,0,1,8,0,0,0,45,167,167,167,48,22,284,222,0,0,2,0,0,1,0,0,9,9,11,16,16,16,2,1,0,0,0,1,0,1,0,0,0,2,0,2,0,23,76,53,0,0,0,0,9,9,9,0,0,0,0,1,1,0,1,71,0,0,0,0,0,0,0,0,0,79,79,19,79,79,0,5,85,85,85,11,85,13,0,0,0,0,0,22,0,0,2,0,11
AI,Anguilla,15000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,365,0,0,0,0,0,2,2,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,17,0,0,0,2,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,12,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,16,0,0,5,5,5,18,15,0,0,2,0,2,0,0,0,0,10,0,2,1,17,0,0,0,0,0,6,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,16,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AG,Antigua and Barbuda,98000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,33,34,0,0,0,15,0,0,0,64,64,0,0,0,0,0,0,0,0,12,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,65,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,29,0,30,0,0,7,0,9,3,7,6,7,7,0,0,0,0,0,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,33,0,0,4,4,4,93,12,0,0,14,0,14,2,0,0,0,23,0,14,0,37,0,0,0,0,0,20,7,7,14,14,0,14,18,0,0,0,0,0,0,0,5,14,0,0,7,0,0,0,0,0,0,1,0,0,0,4,0,0,0,2,17,17,17,4,4,42,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,8,0,0,0,2,0,0,0,3,9,6,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,18,18,0,18,18,0,0,19,19,19,0,19,0,0,0,0,0,1,1,0,0,0,0,1
AR,Argentina,45196000,59,50,62,47,56,43,55,57,62,56,49,39,52,41.4,2018,1001968,342,129,5,2,4,331,209,356,356,100,147,0,0,356,519,121,186,356,147,0,0,3,117,3,3,17,3,3,3,3,401,4,506,244,4,4,24074,24076,7521,4,0,0,16249,348,4,0,25250,25251,4,4,4,4,4,0,782,638,5850,3347,3332,3394,83,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,5,5,5,5,5,2,2,2,38,2,2,2,0,37,37,39,37,91,1073,3,0,429,429,587,457,457,327,4304,25172,33902,356,4,0,0,0,0,0,0,0,1,1,1,1,1,1,1,728,5,284,20771,152,20951,0,0,3651,62,4008,444,3650,3484,1247,1250,23,83,157,83,51,16410,16429,16429,16430,16431,445,51,51,669,0,0,0,0,0,0,0,0,125,3,12715,0,0,24092,531,164,3115,3115,3115,37468,12214,2,1694,17038,956,17042,32,0,0,0,3828,51,17084,478,25071,0,0,0,0,0,60526,1264,1266,16169,16142,3989,14961,17243,192,192,192,192,192,192,192,95,16966,4,4,3680,0,0,0,0,0,3,596,1106,11,43,173,0,41,6,798,16148,16148,16149,3372,2896,27900,3214,0,20,382,0,4,133,0,0,1164,1164,1737,1803,1804,1803,84,88,0,0,4,1198,27,1276,0,0,0,199,2,396,0,589,4199,3610,162,162,0,4,95,95,95,0,0,0,0,80,80,10,87,16985,4,0,0,0,0,0,0,190,4,17345,17348,1959,17355,17359,8,444,26691,26694,26696,1650,26698,1354,0,0,0,0,199,653,1,1,68,4,39
