city,population_2020,population_source,capture_date,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
Ashburn,50290,World Population Review,10/27/2020,4453648,99,1220,43,0,24,"4,272",899,"5,079",5079,2217,4180,1,1,5079,12668,1616,5114,5079,"4,183",0,1,34,1076,34,34,212,34,34,34,34,429,36,"12,650",5793,13,13,129957,"129,966",329756,36,0,0,33822,106,19,0,63999,63998,24,24,24,24,24,0,350,268,29574,27502,27466,27589,1922,11,11,11,11,11,11,11,3,3,3,19,19,25,10,31,31,31,31,31,31,31,32,32,37,326,60,51,51,0,312,312,344,312,2336,380,33,1,6077,"6,077","6,180",6138,"6,139",5931,5890,"64,035","108,721",5058,82,1,0,1,0,1,0,0,29,29,29,29,29,29,29,1411,34,12612,"84,668",78,"100,630",1,1,"27,854",113,"28,706",914,"27,853","27,770","17,846","18,925",251,730,"1,664",730,117,37455,"37,790","37,787",37790,37790,6123,117,117,"6,256",1,1,1,1,1,1,1,1,"1,612",105,"87,350",1,1,"130,222",637,"1,719","41,835","41,835","41,835","166,765","83,655",54,"11,706","41,198","6,220","41,199",158,1,1,1,"290,714",117,"45,057","4,227","140,753",1,1,1,1,1,"1,411","17,906","18,989","44,245","44,247","20,690",30051,59953,2085,2086,2085,2085,2085,2085,2084,1518,46002,22,22,27786,0,0,0,0,0,23,164,7852,215,419,2531,0,15,159,4973,97725,97726,97733,10777,6568,146385,1697,0,72,292,0,13,2019,0,0,7448,7446,11718,12941,12944,12943,276,1546,1,0,224,18430,263,19072,0,0,0,167,134,308,0,1063,28774,27709,1,1,12,13,1525,1525,1525,0,0,0,0,1399,1401,211,1536,45029,13,0,0,0,0,0,0,2106,86,53871,53875,23048,53870,53878,44,6060,63170,63170,63177,7243,63180,19373,0,0,0,0,2293,17,5,5,312,15,40
Atlanta,523738,World Population Review,10/27/2020,391118,104,105,6,0,0,74,44,90,90,33,46,0,0,90,312,137,65,90,46,0,0,8,89,8,8,33,8,8,8,8,69,1,308,137,3,3,15068,15068,11042,1,0,0,1807,108,4,0,8047,8048,0,0,0,0,0,0,85,82,2001,1635,1633,1642,25,0,0,0,0,0,0,0,0,0,0,2,2,1,0,6,6,6,6,6,6,6,3,3,3,29,3,3,3,0,27,27,30,27,26,152,1,0,177,177,203,183,183,156,1349,"8,051","15,183",90,3,0,0,0,0,0,0,0,3,3,3,3,3,3,3,242,0,102,11721,0,11902,0,0,1685,9,1793,111,1685,1661,12089,12872,23,73,122,73,15,1908,1923,"1,923",1923,1923,181,15,15,212,0,0,0,0,0,0,0,0,22,4,7489,0,0,"15,099",97,128,"3,215","3,214","3,214","18,606","7,281",3,350,"2,106",110,"2,108",106,0,0,0,"7,787",15,"2,129",393,"15,782",0,0,0,0,0,"1,218","12,107","12,885","2,013","2,014",629,1793,2495,155,155,155,155,155,155,155,143,2184,0,0,1694,0,0,0,0,0,3,151,161,15,41,63,0,34,9,501,9330,9330,9330,1846,1450,17183,170,0,9,435,0,2,198,0,0,252,252,374,414,414,414,43,146,1,0,9,4126,6,12812,0,0,0,74,0,437,0,147,1833,1686,25,25,0,2,142,142,142,0,0,0,0,138,138,13,144,2139,2,0,0,0,0,0,0,155,9,2411,2411,540,2411,2412,3,179,3164,3164,3165,335,3166,394,0,0,0,0,172,22,0,0,41,0,5
Balashikha,514662,World Population Review,10/27/2020,21640,40,10,2,0,0,16,8,16,16,10,8,0,0,16,28,7,9,16,8,0,0,0,10,0,0,2,0,0,0,0,12,0,26,12,0,0,516,516,810,0,0,0,274,44,1,0,619,619,0,0,0,0,0,0,9,5,118,75,72,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,3,0,0,0,0,3,3,3,3,8,5,0,0,16,16,23,18,18,14,72,620,858,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,15,400,0,410,0,0,78,0,85,7,75,72,10,10,2,8,12,8,0,291,291,291,291,291,16,0,0,24,0,0,0,0,0,0,0,0,1,0,272,0,0,516,14,12,113,113,113,981,265,0,52,321,17,321,16,0,0,0,456,0,321,37,563,0,0,0,0,0,359,10,10,306,306,105,276,369,13,13,13,13,13,13,13,23,334,0,0,78,0,0,0,0,0,0,162,24,1,7,3,0,0,0,44,338,338,337,64,28,586,46,0,0,32,0,0,14,0,0,36,36,54,54,54,54,0,9,0,0,0,9,0,10,0,0,0,35,0,42,0,10,86,76,0,0,0,0,24,24,24,0,0,0,0,9,9,0,9,330,0,0,0,0,0,0,0,13,0,363,363,71,363,363,3,16,398,398,398,49,398,49,0,0,0,0,13,85,0,0,13,0,10
Baltimore,590479,World Population Review,10/27/2020,24829,3,3,0,0,0,13,9,13,13,5,4,0,0,13,6,3,4,13,4,0,0,0,3,0,0,2,0,0,0,0,6,0,5,1,0,0,852,852,582,0,0,0,185,3,0,0,687,687,0,0,0,0,0,0,3,1,104,70,70,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,2,4,40,0,0,3,3,7,4,4,1,29,682,889,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,25,566,0,572,0,0,76,2,92,17,76,74,229,230,0,3,4,3,0,212,214,214,214,214,4,0,0,8,0,0,0,0,0,0,0,0,117,0,656,0,0,868,2,5,293,293,293,"1,199",647,0,85,274,4,274,1,0,0,0,304,0,274,28,913,0,0,0,0,0,354,228,229,270,270,123,245,284,5,5,5,5,5,5,5,9,274,0,0,79,0,0,0,0,0,0,61,27,0,2,4,0,10,0,44,720,720,720,53,26,955,18,0,0,4,0,0,9,0,0,7,6,10,11,11,11,10,8,0,0,0,221,1,221,0,0,0,0,0,4,0,20,99,79,2,2,0,0,9,9,9,0,0,0,0,8,8,0,8,268,0,0,0,0,0,0,0,5,0,277,277,36,277,277,0,5,308,308,308,9,308,31,0,0,0,0,5,5,0,0,0,0,0
Brooklyn,2600000,World Population Review,10/27/2020,66699,4,11,1,1,0,42,6,46,46,36,40,0,0,46,45,19,44,47,41,0,0,0,11,0,0,5,0,0,0,0,13,0,46,20,0,0,1934,1933,2000,0,0,0,524,4,0,0,1636,1636,0,0,0,0,0,0,6,4,376,260,259,261,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,6,0,0,0,0,6,6,6,6,37,85,0,0,22,22,25,22,22,21,494,1642,2455,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,74,1604,1,1694,0,0,275,3,307,34,275,266,787,1387,6,10,14,10,0,567,569,569,569,568,23,0,0,34,0,0,0,0,0,0,0,0,12,1,1126,0,0,"1,944",25,13,295,295,295,"2,856","1,095",0,137,641,50,641,21,0,0,0,"1,579",0,648,94,"2,102",0,0,0,0,0,"1,410",790,"1,390",616,616,237,528,744,19,19,19,19,19,19,19,102,653,0,0,275,0,0,0,0,0,0,34,71,1,9,32,0,45,1,125,1273,1273,1274,187,94,2145,85,0,0,29,0,0,22,0,0,51,51,91,98,98,98,937,14,1,0,0,1149,1,1386,0,0,0,7,0,29,0,41,317,276,33,33,0,0,102,102,102,0,0,0,0,13,13,2,14,649,0,0,0,0,0,0,0,19,1,718,718,153,718,718,0,24,884,884,884,67,884,113,0,0,0,0,21,46,1,1,2,0,3
Buenos Aires,15153729,World Population Review,10/27/2020,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo,708559,World Population Review,10/27/2020,948551,78,29,0,0,0,46,28,48,48,16,20,0,0,48,38,24,31,48,20,0,0,0,20,0,0,8,0,0,0,0,27,2,37,8,1,1,4331,4331,9756,2,0,0,609,82,0,0,9998,9999,0,0,0,0,0,0,3,2,511,375,375,377,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,10,31,0,0,30,30,34,32,32,18,225,10005,12427,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,42,3991,2,3998,0,0,382,2,642,260,382,381,102990,161822,1,17,34,17,1,633,633,633,633,633,31,1,1,36,0,0,0,0,0,0,0,0,1776,0,1800,0,0,"4,331",5,36,323,323,323,"12,780","1,786",0,63,651,40,651,4,0,0,0,"6,017",1,654,58,"4,416",0,0,0,0,0,462,"103,118","162,018",636,636,146,591,1803,36,36,36,36,36,36,36,20,659,0,0,386,0,0,0,0,0,0,72,47,0,3,13,0,13,0,312,2039,2039,2039,251,193,4567,46,0,1,220,0,1,7,0,0,39,39,45,50,50,50,72,4,1,0,0,82263,2,161325,0,0,0,11,0,222,0,261,648,387,3,3,0,1,20,20,20,0,0,0,0,4,4,1,4,651,1,0,0,0,0,0,0,36,2,1777,1777,171,1777,1777,1,29,8362,8363,8363,43,8363,150,0,0,0,0,40,26,0,0,30,0,15
Campinas,3300794,World Population Review,10/27/2020,123362,3,8,0,5,0,41,20,57,57,20,37,0,0,57,157,188,46,57,37,0,0,0,4,0,0,1,0,0,0,0,38,1,156,101,0,0,4280,4280,2342,1,0,0,1213,3,0,0,1611,1611,0,0,0,0,0,0,19,14,1188,1138,1138,1142,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,20,18,0,0,122,122,137,125,125,108,179,1611,4218,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0,65,3334,4,3354,0,0,1166,4,1213,48,1167,1152,2052,2053,1,4,9,4,8,1253,1256,"1,256",1256,1256,125,8,8,145,0,0,0,0,0,0,0,0,1109,0,1665,0,0,"4,318",15,8,949,949,949,"5,215","1,608",0,107,"1,277",73,"1,277",1,0,0,0,"1,896",8,"1,291",134,"4,542",0,0,0,0,0,482,"2,059","2,060","1,278","1,278",202,1178,1508,9,9,9,9,9,9,9,41,1287,0,0,1155,0,0,0,0,0,0,7,79,2,7,20,0,1,1,181,1943,1943,1942,281,148,4615,173,0,4,1,0,0,18,0,0,72,72,89,98,98,98,12,8,0,0,1,1742,1,2026,0,0,0,5,0,1,0,65,1223,1158,8,8,2,0,42,42,42,0,0,0,0,7,7,0,8,1285,0,0,0,0,0,0,0,10,0,1464,1464,268,1464,1464,0,125,1596,1596,1596,79,1597,242,0,0,0,0,11,74,0,0,14,0,1
Campo Grande,896864,World Population Review,10/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,7496981,Worldometers,10/27/2020,1023855,107,93,2,0,2,710,493,1386,1386,212,893,0,0,1387,182,1241,961,1387,894,0,0,0,87,0,0,14,0,0,0,0,177,2,178,96,0,0,13537,13540,94104,2,0,0,18070,110,2,0,9645,9647,2,2,2,2,2,0,534,186,4720,3326,3311,3361,186,0,0,0,0,0,0,0,1,1,1,1,1,0,7,1,1,1,1,1,1,1,1,1,1,10,1,1,1,0,9,9,10,9,192,1683,0,0,124,124,178,131,131,119,914,9672,17341,1393,17,0,0,0,0,0,0,0,4,4,4,4,4,4,4,1166,60,1128,11093,62,11919,0,0,3958,44,4222,301,3953,3620,1404,1674,11,51,130,51,8,18901,19197,"19,197",19195,19197,126,8,8,279,0,0,0,0,0,0,0,0,887,19,6769,0,0,"13,612","1,178",130,"1,733","1,733","1,733","20,037","6,490",1,"3,527","20,890","1,080","20,890",50,0,0,0,"85,947",8,"21,232",459,"15,208",0,0,0,0,0,"15,414","1,412","1,683","19,637","19,638","5,502",18245,23090,150,150,150,150,150,150,150,1255,21240,2,2,3938,0,0,0,0,0,2,184,1570,9,23,903,0,35,4,1186,7799,7800,7800,1057,590,15683,1404,0,4,156,0,0,89,0,0,1571,1571,2879,3025,3025,3025,20,68,9,0,5,1526,9,1682,0,0,0,38,0,159,0,851,4772,3921,88,88,6,0,1266,1266,1266,0,0,0,0,61,61,4,66,21160,0,0,0,0,0,0,0,152,2,22687,22687,4080,22684,22681,39,125,27156,27156,27157,2636,27158,2057,0,0,0,0,161,292,0,0,145,4,26
