country_code,country,population_2020,population_source,gini_value,gini_year,gini_source,capture_date,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
AD,Andorra,77240,Worldometers,0,N/A,N/A,10/25/2020,2537,0,0,0,0,0,0,0,1,1,4,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,75,75,56,0,0,0,28,0,0,0,55,54,0,0,0,0,0,0,2,1,12,7,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,7,0,0,0,0,1,0,0,0,12,54,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,61,0,61,0,0,7,0,9,2,7,7,0,0,0,0,0,0,0,30,32,32,32,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,34,0,0,75,0,0,14,14,14,96,32,0,6,33,3,33,0,0,0,0,22,0,33,1,80,0,0,0,0,0,318,0,0,32,32,16,26,36,0,0,0,0,0,0,0,4,32,0,0,7,0,0,0,0,0,0,0,2,0,1,0,0,1,0,3,44,44,44,8,7,87,20,0,0,0,0,0,5,0,0,3,3,4,4,4,4,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,9,7,0,0,0,0,4,4,4,0,0,0,0,5,5,0,5,31,0,0,0,0,0,0,0,0,0,32,32,6,32,32,0,0,37,37,37,3,37,6,0,0,0,0,0,4,0,0,0,0,0
AE,United Arab Emirates,9865845,Worldometers,0,N/A,N/A,10/25/2020,80250,10,10,0,0,0,42,24,49,49,23,25,0,0,49,56,88,29,49,25,0,0,0,9,0,0,1,0,0,0,0,12,0,54,27,0,0,2290,2290,5425,1,0,0,822,10,1,0,1089,1080,0,0,0,0,0,0,38,23,747,661,655,667,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,3,15,72,1,0,35,35,40,39,39,31,96,1084,2578,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,36,1872,8,1895,0,0,721,12,824,108,721,682,469,469,1,5,14,5,7,851,857,857,857,858,36,7,7,42,0,0,0,0,0,0,0,0,9,0,844,0,0,2317,19,16,414,414,414,3067,803,0,114,924,34,925,12,0,0,0,2962,7,927,68,2453,0,0,0,0,0,3948,477,477,886,886,327,833,1002,17,17,17,17,17,17,17,54,927,0,0,728,0,0,0,0,0,0,5,63,1,3,72,0,16,0,170,971,971,971,120,52,2518,433,0,3,7,0,0,12,0,0,61,61,82,92,92,92,10,9,3,0,0,493,1,494,0,0,0,4,0,7,0,125,841,716,39,39,1,0,56,56,56,0,0,0,0,9,9,2,9,935,0,0,0,0,0,0,0,18,0,1009,1009,120,1009,1009,5,35,1160,1160,1160,72,1160,89,0,0,0,0,20,155,0,0,8,2,15
AF,Afghanistan,38742911,Worldometers,0,N/A,N/A,10/25/2020,6322,2,0,0,0,0,21,2,21,21,19,19,0,0,21,2,0,19,21,19,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,134,134,112,0,0,0,74,2,0,0,115,114,0,0,0,0,0,0,1,0,22,9,9,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,1,1,1,1,1,0,9,114,167,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,19,97,0,98,0,0,18,7,19,8,18,16,2,2,0,0,0,0,0,76,79,79,79,79,1,0,0,1,0,0,0,0,0,0,0,0,0,0,88,0,0,134,3,0,35,35,35,205,83,0,33,88,21,88,2,0,0,0,77,0,88,4,152,0,0,0,0,0,1018,2,2,85,85,40,55,94,0,0,0,0,0,0,0,0,90,0,0,19,0,0,0,0,0,0,0,21,0,0,6,0,4,0,6,100,100,100,7,3,158,14,0,0,1,0,0,8,0,0,12,12,15,16,16,16,0,8,0,0,0,2,0,2,0,0,0,0,0,1,0,11,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,91,0,0,0,0,0,0,0,0,0,96,96,35,96,96,0,1,99,99,99,16,99,31,0,0,0,0,0,22,0,0,5,0,2
AG,Antigua and Barbuda,97764,Worldometers,0,N/A,N/A,10/25/2020,2256,0,0,0,0,0,2,2,2,2,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,92,92,27,0,0,0,23,0,1,0,80,81,0,0,0,0,0,0,0,0,16,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,82,104,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,44,3,44,0,0,7,0,9,3,7,6,0,0,0,0,1,0,0,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,85,0,1,43,43,43,149,64,0,0,22,0,22,2,0,0,0,10,0,22,0,89,0,0,0,0,0,46,0,0,22,22,6,22,24,1,1,1,1,1,1,1,0,22,0,0,6,0,0,0,0,0,0,2,0,0,0,5,0,1,0,2,64,64,64,4,4,88,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,4,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,24,24,0,24,24,0,0,24,24,24,0,24,0,0,0,0,0,1,1,0,0,0,0,0
AI,Anguilla,14976,Worldometers,0,N/A,N/A,10/25/2020,411,0,0,0,0,0,2,0,2,2,2,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,16,0,0,0,2,0,0,0,9,9,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,9,0,0,2,0,2,0,2,1,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,14,0,0,4,4,4,16,12,0,4,5,2,5,0,0,0,0,11,0,5,0,16,0,0,0,0,0,1,0,0,5,5,4,3,5,0,0,0,0,0,0,0,2,5,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,12,12,12,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,2,5,5,0,0,5,5,5,0,5,2,0,0,0,0,0,1,0,0,0,0,0
AL,Albania,2878420,Worldometers,33.2,2017,Index Mundi,10/25/2020,25311,2,3,0,0,0,15,9,16,16,5,7,0,0,16,12,5,10,16,7,0,0,0,3,0,0,0,0,0,0,0,3,0,12,3,0,0,653,653,561,0,0,0,396,2,0,0,633,629,0,0,0,0,0,0,25,20,351,141,141,143,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,5,9,0,0,9,9,9,9,9,7,41,631,960,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,14,546,2,550,0,0,148,2,152,5,148,143,13,13,3,3,4,3,3,401,403,403,403,403,9,3,3,9,0,0,0,0,0,0,0,0,0,0,279,0,0,652,8,3,99,99,99,1072,271,0,30,411,11,411,0,0,0,0,399,3,413,26,696,0,0,0,0,0,1273,12,11,388,388,65,370,430,7,7,7,7,7,7,7,11,407,0,0,148,0,0,0,0,0,0,7,20,0,2,10,0,2,0,32,336,336,336,48,22,719,81,0,0,5,0,0,6,0,0,29,29,36,37,37,37,0,2,0,0,0,11,0,11,0,0,0,3,0,6,0,9,156,147,5,5,0,0,11,11,11,0,0,0,0,2,2,0,2,406,0,0,0,0,0,0,0,7,1,424,424,48,424,424,0,9,460,460,460,33,460,34,0,0,0,0,10,78,0,0,7,0,2
AM,Armenia,2962137,Worldometers,34.4,2018,Index Mundi,10/25/2020,22974,4,5,0,0,0,5,3,6,6,2,3,0,0,6,17,4,9,6,3,0,0,1,5,1,1,2,1,1,1,1,4,0,17,5,0,0,796,796,351,0,0,0,214,7,0,0,661,656,0,0,0,0,0,0,8,6,193,131,130,131,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,2,10,1,0,6,6,7,6,6,6,43,659,1018,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,19,650,5,659,0,0,139,1,150,16,139,130,16,16,0,5,7,5,0,228,229,229,229,229,6,0,0,9,0,0,0,0,0,0,0,0,1,1,380,0,0,788,3,7,133,133,133,1164,360,0,36,245,15,245,2,0,0,0,264,0,248,20,813,0,0,0,0,0,1366,16,16,236,236,68,214,296,7,7,7,7,7,7,7,3,249,0,0,136,0,0,0,0,0,0,24,18,0,2,3,0,2,0,32,444,444,444,69,49,863,110,0,0,4,0,0,3,0,0,20,20,28,35,35,35,0,3,0,0,1,5,0,16,0,0,0,9,0,4,0,20,150,130,0,0,0,0,3,3,3,0,0,0,0,3,3,0,3,249,0,0,0,0,0,0,0,7,2,277,277,43,277,277,0,6,336,336,336,17,336,38,0,0,0,0,9,95,0,0,6,0,16
AO,Angola,32644783,Worldometers,51.3,2018,Index Mundi,10/25/2020,7222,0,0,0,0,0,10,5,10,10,5,5,0,0,10,6,0,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,221,221,147,0,0,0,73,0,0,0,121,121,0,0,0,0,0,0,6,4,50,45,45,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,5,197,0,0,5,5,5,5,5,5,19,121,242,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,177,1,178,0,0,52,0,69,19,52,47,2,2,0,0,0,0,0,74,74,74,74,74,5,0,0,5,0,0,0,0,0,0,0,0,1,0,100,0,0,220,1,0,41,41,41,287,97,0,8,79,5,79,0,0,0,0,114,0,84,24,255,0,0,0,0,0,155,2,2,78,78,28,70,95,0,0,0,0,0,0,0,9,87,0,0,53,0,0,0,0,0,0,0,6,0,2,6,0,1,0,43,149,149,149,44,20,277,227,0,0,3,0,0,2,0,0,9,9,13,17,17,17,2,2,0,0,0,2,0,2,0,0,0,2,0,3,0,24,74,50,0,0,0,0,10,10,10,0,0,0,0,2,2,0,2,83,0,0,0,0,0,0,0,0,0,92,92,18,92,92,0,5,99,99,99,11,99,12,0,0,0,0,0,12,0,0,1,0,12
AR,Argentina,45111229,Worldometers,41.4,2018,Index Mundi,10/25/2020,885787,350,114,2,0,4,302,202,328,328,78,126,1,1,328,582,126,163,328,127,0,1,8,108,8,8,16,8,8,8,8,376,1,572,277,3,3,20691,20692,6887,1,0,0,14193,361,4,0,22887,22704,4,4,4,4,4,0,434,318,4391,2319,2301,2371,63,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,38,2,2,2,0,37,37,39,37,72,920,1,0,447,447,584,472,472,341,3922,22759,30436,327,4,1,0,1,0,0,0,0,1,1,1,1,1,1,1,498,5,285,17785,106,17968,0,0,2624,70,2928,382,2629,2482,1073,1073,23,73,142,73,43,14434,14454,14455,14459,14459,464,43,43,671,1,1,1,1,1,1,1,1,105,6,11027,0,0,20669,1051,148,2695,2695,2695,33534,10513,4,1543,15589,276,15590,27,1,1,1,3479,43,15640,394,21340,2,1,1,1,1,56020,1075,1075,14099,14101,3601,13659,15727,179,179,179,179,179,179,179,85,15557,4,4,2640,1,1,1,1,1,3,809,435,14,46,164,0,42,7,660,13694,13695,13699,2659,2263,23656,3322,0,14,297,0,2,140,1,0,514,514,1597,1665,1665,1665,69,94,0,0,5,998,26,1090,1,0,0,173,2,310,0,489,3069,2578,166,166,0,2,87,87,87,0,0,0,0,89,89,11,95,15600,2,0,0,0,1,0,0,184,5,15968,15972,1831,15977,15980,11,456,24755,24760,24764,1512,24772,700,0,0,0,0,197,615,0,0,56,4,47
AS,American Samoa,55215,Worldometers,0,N/A,N/A,10/25/2020,533,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,8,0,0,0,7,0,0,0,16,16,0,0,0,0,0,0,0,0,15,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,11,0,0,12,0,12,0,12,12,0,0,0,2,2,2,0,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,2,0,0,0,28,2,0,0,7,0,7,0,0,0,0,4,0,7,0,11,0,0,0,0,0,1,0,0,7,7,0,7,7,2,2,2,2,2,2,2,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,7,7,0,7,7,0,0,7,7,7,0,7,0,0,0,0,0,2,0,0,0,0,0,0
