Column Name / Sheet Name,Column Description,Source,Source Name,Information Sourced,Convention,Convention Meaning
exposure-count.csv,The worksheet that contains all the information regarding our list of CVEs.,https://www.imd.org/smart-city-observatory/smart-city-index/,IMD Smart City Index 2020,"Smart Cities,Smart City Data,Population",N/A,Data is not applicable. Either not found or no answer was provided. 
vulnerability,The vulnerability identification number given by cve.mitre (e.g CVE-2017-14726).,https://media.iese.edu/research/pdfs/ST-0542-E.pdf,IESE Cities in Motion Index 2020,"Cities-In-Motion,Cities-In-Motion  Data",,
capture_date,The date that the specific piece of information is captured.,https://www.c40.org/researches/municipality-led-circular-economy,C40,Circular Cities,,
totalcount,The number of the total vulnerable devices according to Shodan.io.,https://nvd.nist.gov/,NVD,CVSS Metrics,,
exploit_source,The source where the information regarding the exploits were taken from.,https://cve.mitre.org/ ,CVE,CVE information,,
exploit_type,The type of exploit that the CVE was assigned to.,https://www.cvedetails.com/,CVE Details,CVE infomration,,
exploit_platform,The platform or service that is exploitable by the specific CVE.,https://www.securityfocus.com/,SecurityFocus,CVE information,,
exploit_vendor,The vendor of the exploitable serivce that the CVE identification number was assigned to.,https://security.netapp.com/,NetApp,CVE information,,
exploit_attack,The attack type of the exploit that the CVE identification number was assigned to.,https://simplesamlphp.org/,SimpleSAMLphp,CVE information,,
vulnerable_cities,The top 10 smartcities that has the most exposed number of devices and services vulnerable to the specific CVEs for data analytics purposes.,https://seclists.org/,SecList.org,CVE information,,
vulnerable_services,The top 10 services that has the most exposed number of devices and services vulnerable to the specific CVEs for data analytics purposes.,https://www.shodan.io/,Shodan.io,"CVE information,Exposure Numbers,Products,Devices,Tags",,
cvss_source,The source where the relevant CVSS information was taken from.,https://worldpopulationreview.com/,World Population Review,Population Data,,
cvss3_basescore,The CVE's CVSS v3 base score.,https://www.macrotrends.net/,macrotrends,Population Data,,
cvss3_severity,The CVE's CVSS v3 severity level.,https://www.worldometers.info/,worldometer,Population Data,,
cvss3_impactscore,The CVE's CVSS v3 impact score.,http://citypopulation.de/,City Population,Population Data,,
cvss3_exploitabilityscore,The CVE's CVSS v3 exploitability score.,http://population.city/,Population.City,Population Data,,
