smart_city,population_2020,population_source,% of respondents who are willing to conceded personal data in order to improve traffic congestion,% of respondents who are comfortable with face recognition technologies to lower crime,% of respondents who feel the availability of online information has increased their trust in authorities,% of day-to-day payment transactions that re non-cash,overall_rating,overall_ranking,smartcity_source,capture_date,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
Tokyo,38001000,IMD Smart City Index 2020,42.0,61.9,41.1,68.6,4,79,IMD Smart City Index 2020,11/12/2020,0,85,841,75,0,0,2833,1158,3708,3708,1457,2550,0,0,3708,947,1254,3360,3710,2551,0,0,53,740,53,53,277,53,53,53,53,258,37,913,480,13,13,61072,61071,135472,37,0,0,35392,105,23,0,43354,43355,0,0,0,0,0,0,799,680,25503,21427,21397,21477,1000,4,4,4,4,4,4,4,1,1,1,5,5,13,28,70,70,70,70,70,70,70,18,18,22,68,22,22,22,0,47,47,65,47,1107,232,52,0,624,624,718,680,680,562,4325,43388,74127,3718,78,0,0,0,0,0,0,0,16,16,16,16,16,16,16,2952,51,7335,48305,117,64807,0,0,21655,49,21910,283,21627,21517,14484,14989,179,532,1104,532,71,39213,39566,39564,39562,39565,648,71,71,761,0,0,0,0,0,0,0,0,1807,180,33528,0,0,61205,995,1206,8039,8039,8039,98956,29363,41,9888,42940,4477,42946,206,0,0,0,121951,71,44844,4439,72726,0,0,0,0,0,1224,14520,15025,43277,43278,18012,33640,55255,1454,1454,1454,1454,1454,1454,1454,7086,46514,0,0,21749,0,0,0,0,0,13,133,6080,36,55,2904,0,2,31,4682,41461,41460,41460,7724,3277,76085,587,0,43,92,0,13,250,0,0,7913,7913,10985,11774,11774,11776,48,194,3,0,42,10403,52,14940,0,0,0,98,0,109,0,406,21978,21573,0,0,6,13,7008,7008,7008,0,0,0,0,137,137,61,193,44775,13,0,0,0,0,0,0,1442,43,50756,50760,16148,50766,50767,92,644,56196,56195,56193,8240,56195,12687,0,0,0,0,1591,491,1,1,159,7,49
London,10313000,IMD Smart City Index 2020,59.8,68.2,60.3,75.8,8,15,IMD Smart City Index 2020,11/12/2020,0,1673,606,41,0,2,582,220,975,975,159,755,1,1,975,3432,528,1146,975,755,0,1,18,490,18,18,157,18,18,18,18,341,30,3426,702,10,10,112249,112251,86828,30,0,0,17821,1693,13,0,47185,47186,2,2,2,2,2,0,117,95,12794,11998,11977,12038,126,5,5,5,5,5,5,5,5,5,5,14,14,10,10,31,31,31,31,31,31,31,14,14,18,117,20,20,20,0,109,109,123,109,195,165,14,0,928,928,1039,973,973,815,6222,47250,82875,977,34,1,0,1,0,1,0,0,14,14,14,14,14,14,14,1801,22,3856,71459,36,72811,1,1,12351,60,13007,848,12350,12152,49898,53290,152,364,867,364,82,19669,19765,19764,19766,19771,963,82,82,1085,1,1,1,1,1,1,1,1,13134,27,73438,1,1,112253,396,923,40365,40365,40366,124319,72024,30,3845,21240,1499,21243,472,1,1,1,70609,82,22585,3532,117998,2,2,1,2,2,2501,50019,53417,22123,22124,6726,17699,27855,1129,1129,1129,1129,1129,1129,1129,6693,23107,1,1,12415,1,1,1,1,1,12,572,2791,103,170,612,0,150,70,4210,82669,82674,82675,9052,5515,123488,493,0,34,1288,0,10,842,2,1,3030,3031,4919,5296,5296,5296,172,652,0,2,87,33278,276,53266,2,0,1,381,54,1280,0,959,13081,12122,11,11,5,10,6603,6603,6603,2,2,2,2,575,575,99,634,22321,10,2,2,2,2,2,2,1127,38,25292,25293,7770,25297,25297,34,957,29406,29408,29409,3162,29411,6211,1,1,1,1,1242,224,1,1,253,2,158
Dublin,1169000,IMD Smart City Index 2020,61.8,68.9,59.2,72.5,7,34,IMD Smart City Index 2020,11/12/2020,0,56,531,34,0,2,1717,590,2149,2149,723,1559,5,5,2149,5419,1032,2074,2149,1559,0,5,17,435,17,17,127,17,17,17,17,177,33,5414,2536,9,9,77927,77929,89279,33,0,0,22206,58,9,0,41746,41747,2,2,2,2,2,0,165,119,15832,14668,14651,14724,617,6,6,6,6,6,6,6,4,4,4,5,5,7,29,24,24,24,24,24,24,24,9,9,19,175,23,22,22,0,162,162,171,162,725,363,13,0,2648,2648,2685,2687,2687,2596,6066,41791,68227,2149,42,5,0,5,0,5,0,0,13,13,13,13,13,13,13,1640,26,5050,55752,37,62809,5,5,15134,74,15681,533,15138,14800,883,888,109,285,714,285,73,24102,24290,24293,24296,24298,2682,73,73,2733,5,5,5,5,5,5,5,5,165,52,52046,5,5,78026,940,767,20224,20226,20227,95649,50107,16,5908,26514,2567,26523,107,5,5,5,83923,73,27896,1871,83894,6,6,1,6,6,1609,887,892,26839,26843,10396,20901,34709,912,912,912,912,912,913,913,850,28661,2,2,15271,5,5,5,5,5,14,128,3560,150,264,1985,0,33,73,2339,58480,58477,58477,6275,4401,88385,522,0,48,92,0,9,1284,6,1,3700,3700,5670,6257,6256,6256,80,1031,0,6,146,1098,325,1208,6,0,1,120,132,90,0,658,15686,15028,10,10,17,9,839,839,839,6,6,6,6,891,891,150,1026,27711,9,6,6,6,6,6,6,910,32,32225,32227,11173,32229,32229,23,2668,35495,35497,35496,4329,35501,9099,1,1,1,1,986,105,6,6,84,3,28
Singapore,5619000,IMD Smart City Index 2020,65.6,71.3,72.5,71.0,10,1,IMD Smart City Index 2020,11/12/2020,0,928,459,23,1,26,1250,530,1590,1590,554,1060,0,0,1589,3044,776,1412,1590,1061,0,0,19,360,19,19,119,19,19,19,19,318,26,3000,797,5,5,62884,62886,106377,26,0,0,19689,973,9,0,29481,29481,26,26,26,26,26,0,360,224,11581,10753,10767,10866,468,4,4,4,4,4,4,4,4,4,4,17,17,10,18,15,15,15,15,15,15,15,19,19,25,159,25,25,25,0,142,142,161,142,518,293,15,0,957,957,1108,1015,1015,892,4035,29514,49115,1585,41,0,0,0,0,0,0,0,14,14,14,14,14,14,14,1301,55,3396,40843,91,44421,0,0,11146,95,12350,1289,11142,10991,3865,4357,118,234,631,234,78,21243,21461,21464,21465,21467,969,78,78,1152,0,0,0,0,0,0,0,0,379,74,44261,0,0,63038,487,669,20946,20946,20947,73845,42670,21,4439,23129,1915,23131,206,0,0,0,89496,78,24170,2033,67731,1,1,1,1,1,18064,3879,4372,23555,23557,8124,19240,30754,839,839,839,839,839,839,841,6268,25069,26,26,11218,0,0,0,0,0,15,209,2683,98,196,1017,0,42,47,3318,50480,50480,50481,5940,3907,71719,1046,0,35,2005,0,5,643,1,1,3675,3675,5399,6061,6061,6061,88,519,2,1,67,3787,382,4725,1,0,1,101,9,1991,0,1538,12660,11122,17,17,9,5,6183,6183,6183,1,1,1,1,450,450,80,517,23993,5,1,1,1,1,1,1,837,51,27814,27815,8070,27820,27821,51,967,31141,31140,31141,3827,31141,6544,1,1,1,1,949,284,2,2,252,9,53
Amsterdam,1091000,IMD Smart City Index 2020,57.3,58.2,63.2,73.1,8,9,IMD Smart City Index 2020,11/12/2020,0,871,540,22,0,3,370,181,477,477,154,296,1,1,477,1924,1086,376,477,296,0,1,17,467,17,17,107,17,17,17,17,432,18,1911,762,10,10,73076,73076,54812,18,0,1,7368,925,5,0,35690,35690,3,3,3,3,3,0,107,68,7551,7028,7012,7090,120,5,5,5,5,5,5,5,4,4,4,0,0,3,9,13,13,13,13,13,13,13,3,3,3,71,5,4,4,0,74,74,77,74,142,95,4,0,1017,1017,1188,1063,1063,863,6556,35738,58323,474,19,1,1,1,1,1,1,1,6,6,6,6,6,6,6,1711,12,717,46600,28,46904,1,1,7284,78,7967,763,7285,7172,18961,19814,141,323,665,323,113,7968,8032,8032,8033,8034,1051,113,113,1227,1,1,1,1,1,1,1,1,2364,16,47901,1,1,73205,363,696,26284,26284,26284,85060,47259,17,1464,8565,605,8565,177,1,1,1,29016,113,8740,929,75235,1,1,1,1,1,1948,18984,19838,8313,8314,2699,7197,10966,885,885,885,885,885,885,885,663,9090,3,3,7319,1,1,1,1,1,9,1711,872,54,115,350,0,81,25,1614,52946,52948,52948,4870,3938,79228,323,0,69,1613,0,10,515,1,1,1272,1272,1850,2044,2044,2044,104,392,1,1,46,15365,265,19922,1,0,0,533,1,1593,0,843,7957,7113,11,11,27,10,650,650,650,1,1,1,1,339,339,59,389,8749,10,1,1,1,1,1,1,886,32,10219,10220,2872,10218,10217,13,1040,11661,11663,11664,1549,11666,2214,1,1,0,1,947,279,1,1,173,18,17
Sydney,4505000,IMD Smart City Index 2020,61.9,70.7,54.0,76.3,8,18,IMD Smart City Index 2020,11/12/2020,0,96,293,19,0,17,773,240,1075,1075,318,835,0,0,1075,744,8693,1226,1075,835,0,0,13,238,13,13,76,13,13,13,13,54,24,737,166,0,0,34333,34335,40151,24,0,0,24768,101,4,0,15856,15856,17,17,17,17,17,0,75,48,6978,6369,6365,6391,280,2,2,2,2,2,2,2,2,2,2,4,4,4,4,15,15,15,15,15,15,15,4,4,5,45,12,5,5,0,45,45,49,45,340,153,2,0,195,195,217,209,209,189,2384,15879,27398,1073,57,0,0,0,0,0,0,0,8,8,8,8,8,8,8,855,16,3708,22870,68,25946,0,0,13670,26,13975,341,13672,13629,2807,2814,79,157,402,157,16,26230,26335,26338,26339,26341,203,16,16,227,0,0,0,0,0,0,0,0,224,16,24165,0,0,34421,174,410,10677,10677,10677,41286,23233,16,4124,28001,1481,28009,161,0,0,0,36667,16,29153,881,38058,2,2,2,2,2,2701,2818,2824,28971,28976,6413,24484,34133,521,521,521,521,521,521,521,2552,29548,17,17,13740,0,0,0,0,0,7,63,2131,57,61,1809,0,261,48,1189,27617,27618,27618,3354,2472,40571,359,0,8,345,0,0,490,2,2,2995,2995,4354,4673,4673,4672,91,387,1,2,49,2866,117,2924,2,0,2,72,102,345,0,398,13848,13452,14,14,8,0,2516,2516,2516,2,2,2,2,352,352,62,383,28739,0,2,2,2,2,2,2,512,27,31448,31453,7116,31457,31460,3,200,33998,33999,34006,2532,34009,6131,2,2,2,2,574,121,1,1,52,5,46
Chicago,8745000,IMD Smart City Index 2020,54.0,56.9,39.3,71.2,7,41,IMD Smart City Index 2020,11/12/2020,0,48,58,0,0,0,87,28,121,121,60,93,0,0,121,105,8677,113,121,93,0,0,0,52,0,0,11,0,0,0,0,39,1,103,41,0,0,17405,17406,36046,1,0,0,14575,54,3,0,13857,13858,0,0,0,0,0,0,283,26,3290,2958,2955,2965,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,9,1,1,1,0,9,9,10,9,53,236,1,0,54,54,67,58,58,52,385,13867,22296,120,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,969,3,146,15479,8,15877,0,0,10588,10,10916,337,10591,10573,102454,102460,10,41,73,41,4,14714,14716,14717,14714,14714,56,4,4,81,0,0,0,0,0,0,0,0,143,2,5363,0,0,17481,25,75,1614,1614,1614,24380,5305,2,476,15055,132,15055,37,0,0,0,26476,4,15071,764,19531,0,0,0,0,0,2294,102454,102460,15034,15033,891,14852,15879,92,92,92,92,92,92,92,631,15116,0,0,10643,0,0,0,0,0,0,32,152,2,10,1202,0,116,1,1261,6428,6427,6427,1053,288,19833,289,0,1,279,0,0,63,0,0,142,142,180,192,192,192,33,46,0,0,2,55094,217,102678,0,0,0,17,0,288,0,522,10968,10446,21,21,5,0,624,624,624,0,0,0,0,42,42,2,46,14807,0,0,0,0,0,0,0,91,3,15578,15580,940,15581,15581,2,56,18556,18554,18556,161,18559,859,0,0,0,0,101,60,0,0,15,2,14
Mumbai,21043000,IMD Smart City Index 2020,75.9,78.0,81.3,69.3,2,93,IMD Smart City Index 2020,11/12/2020,0,27,119,4,0,1,274,128,449,449,87,321,1,1,449,1093,228,457,449,321,1,2,15,102,15,15,37,15,15,15,15,75,6,1090,351,1,1,47998,48000,49057,6,1,1,11760,27,3,0,15370,15369,1,1,1,1,1,0,130,96,8365,8322,8307,8366,73,2,2,2,2,2,2,2,0,0,0,0,0,0,7,2,2,2,2,2,2,2,3,3,6,48,8,6,6,0,53,53,56,53,84,191,4,0,387,387,421,409,409,379,1090,15384,25540,450,55,1,0,1,0,1,0,0,0,0,0,0,0,0,0,185,3,1750,23081,26,25177,1,1,8606,59,9490,934,8606,8535,983,993,64,79,177,79,22,12588,12647,12648,12649,12649,403,22,22,431,2,2,2,2,2,2,2,2,107,22,39277,2,2,48124,193,190,24221,24221,24222,51937,38385,18,1805,13297,792,13299,38,2,2,2,47147,22,13833,1141,50751,2,2,1,2,2,764,989,999,13666,13667,3136,11648,17460,280,280,280,280,279,279,279,1680,14115,1,1,8668,2,2,2,2,2,1,33,1179,85,70,561,1,4,68,2018,41777,41778,41779,2383,1241,52057,479,0,15,61,0,1,387,2,1,1406,1406,2312,2577,2577,2577,10,320,1,2,58,981,60,1027,2,0,1,15,50,61,0,985,9547,8562,7,7,4,1,1647,1647,1647,2,2,2,1,274,274,90,313,13685,1,1,1,1,1,1,1,278,14,15880,15881,4141,15885,15887,29,402,17498,17500,17501,1391,17504,3483,0,0,0,0,320,176,0,0,187,1,22
Paris,10843000,IMD Smart City Index 2020,57.8,58.6,57.4,70.0,5,61,IMD Smart City Index 2020,11/12/2020,0,355,133,6,1,4,191,112,249,249,82,137,0,0,249,686,334,181,249,137,0,0,2,118,2,2,40,2,2,2,2,197,3,663,272,3,3,42159,42159,32043,3,0,0,15209,369,0,0,26421,26422,4,4,4,4,4,0,139,100,7347,6546,6530,6569,50,0,0,0,0,0,0,0,1,1,1,0,0,3,2,5,5,5,5,5,5,5,3,3,3,46,5,3,3,0,46,46,49,46,55,314,11,0,357,357,436,397,397,328,7557,26426,41483,247,18,0,0,0,0,0,0,0,13,13,13,13,13,13,13,467,6,881,31935,8,32445,0,0,6677,37,7071,428,6675,6634,7694,8623,43,78,170,78,52,15680,15726,15729,15732,15732,371,52,52,483,0,0,0,0,0,0,0,0,221,23,23499,0,0,41829,429,176,9950,9950,9950,52128,23025,3,1308,16570,268,16576,99,0,0,0,28023,52,17045,530,43679,0,0,0,0,0,2572,7717,8647,16491,16492,2609,15410,18900,229,229,229,228,228,228,228,453,17311,4,4,6710,0,0,0,0,0,2,143,481,33,71,360,0,59,18,907,29197,29197,29198,5591,5059,48777,417,0,21,172,0,4,296,0,0,1207,1207,2106,2309,2309,2309,241,245,0,0,44,8652,182,8750,0,0,0,716,22,175,0,485,7091,6607,42,42,0,5,444,444,444,0,0,0,0,210,210,35,242,16889,5,0,0,0,0,0,0,229,11,17966,17968,2520,17971,17970,41,369,18867,18869,18868,1555,18871,1739,0,0,0,0,252,212,1,1,52,3,36
Montreal,3981000,IMD Smart City Index 2020,62.2,65.1,60.6,79.2,8,21,IMD Smart City Index 2020,11/12/2020,0,374,163,6,0,0,247,95,289,289,98,194,1,1,289,470,205,245,289,194,0,1,8,135,8,8,39,8,8,8,8,149,4,432,227,1,1,24556,24557,28753,4,0,0,13498,397,1,0,15213,15213,0,0,0,0,0,0,56,43,4081,3307,3298,3323,83,0,0,0,0,0,0,0,0,0,0,2,2,2,17,6,6,6,6,6,6,6,2,2,2,17,2,2,2,0,18,18,20,18,101,176,8,0,305,305,367,349,349,269,2418,15213,23087,289,12,1,0,1,0,0,0,0,5,5,5,5,5,5,5,570,3,1145,16609,30,17680,0,0,3403,24,3614,215,3403,3366,3903,4613,49,87,230,87,32,13906,13930,13932,13933,13933,310,32,32,381,1,1,1,1,1,1,1,1,318,18,15234,0,0,24591,106,238,7713,7712,7712,31984,14884,10,1126,14590,346,14596,51,1,1,1,22663,32,15107,389,25619,1,0,0,0,0,2400,3927,4637,14968,14972,2128,13611,17162,308,308,308,308,308,308,308,2104,15297,0,0,3438,1,1,1,1,1,5,240,512,14,31,295,0,66,10,591,17347,17347,17347,2055,1666,27307,305,0,17,1035,0,1,212,1,0,984,984,1602,1785,1785,1785,110,174,2,0,36,2390,13,4648,1,0,0,169,0,1032,0,255,3640,3385,29,29,5,1,2072,2072,2072,0,0,0,0,147,147,28,166,14879,1,0,0,0,1,0,0,307,9,16129,16131,2692,16135,16137,9,309,17475,17477,17479,1022,17482,2247,0,0,0,0,329,107,0,0,84,2,43
