city,city_type,% of respondents who are willing to conceded personal data in order to improve traffic congestion,% of respondents who are comfortable with face recognition technologies to lower crime,% of respondents who feel the availability of online information has increased their trust in authorities,% of day-to-day payment transactions that re non-cash,population_2020,overall_rating,overall_ranking,country,countrycode,cities_in_motion,economy,human_capital,social_cohesion,environment,goverance,urban_planning,international_outreach,technology,mobility_and_transportation,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010,,,
A Coruña,city in motion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Spain,ES,102,92,96,69,60,140,77,162,87,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Abu Dhabi,"smart city,city in motion",77.6,88.8,89.2,69.7,1145000,6,42,United Arab Emirates,AE,117,33,161,15,169,83,137,79,12,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Abuja,smart city,76.5,86.4,61.7,58.5,2440000,1,107,Nigeria,NG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1536,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,27,0,0,0,12,0,0,0,13,13,0,0,0,0,0,0,1,0,17,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,1,45,0,0,15,0,20,5,15,15,0,0,0,1,1,1,0,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,50,0,1,7,7,7,59,13,0,3,16,0,16,0,0,0,0,17,0,16,6,57,0,0,0,0,0,166,0,0,16,16,5,14,19,1,1,1,1,1,1,1,0,16,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,1,0,12,20,20,20,7,1,58,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,16,16,2,16,16,0,0,28,28,28,5,28,2,0,0,0,0,1,2,0,0,1,0,1,,,
Almaty,city in motion,N/A,N/A,N/A,N/A,1896000,N/A,N/A,Kazakhstan,KZ,128,108,124,134,104,150,75,169,141,112,30968,27,4,0,0,0,16,10,21,21,5,11,0,0,21,41,4,15,21,11,0,0,0,3,0,0,1,0,0,0,0,11,0,41,20,1,1,1095,1095,1047,0,0,0,263,28,0,0,673,673,0,0,0,0,0,0,9,6,203,155,155,157,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2,2,0,3,3,3,3,4,26,2,0,28,28,33,29,29,26,89,673,1067,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,26,685,1,695,0,0,161,2,190,33,161,156,24,25,0,1,4,1,8,295,297,297,297,297,30,8,8,36,0,0,0,0,0,0,0,0,6,1,636,0,0,1096,9,4,408,408,408,1488,630,0,59,323,15,323,5,0,0,0,853,8,325,32,1138,0,0,0,0,0,366,24,25,317,317,109,274,391,4,4,4,4,4,4,4,19,332,0,0,159,0,0,0,0,0,0,30,31,3,4,8,0,7,2,66,745,745,745,110,77,1217,185,0,3,11,0,1,7,0,0,36,36,50,54,54,54,1,4,0,0,0,21,5,30,0,0,0,23,0,11,0,38,191,153,0,0,0,1,19,19,19,0,0,0,0,4,4,0,4,330,1,0,0,0,0,0,0,4,0,370,370,80,370,370,0,30,431,431,431,45,432,74,0,0,0,0,4,71,0,0,7,0,17,,,
Amman,city in motion,N/A,N/A,N/A,N/A,2148000,N/A,N/A,Jordan,JO,149,140,172,120,120,129,158,130,154,165,8241,0,0,0,0,0,4,2,4,4,0,2,0,0,4,5,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,229,229,117,0,0,0,111,0,0,0,160,160,0,0,0,0,0,0,10,5,64,39,37,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,4,4,2,27,0,0,4,4,4,4,4,1,28,161,257,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,181,8,187,0,0,41,2,60,20,41,41,0,0,1,0,3,0,0,122,122,122,122,122,4,0,0,8,0,0,0,0,0,0,0,0,0,1,139,0,0,231,3,3,40,40,40,319,127,0,11,125,4,125,2,0,0,0,70,0,125,17,264,0,0,0,0,0,121,0,0,117,117,49,113,138,4,4,4,4,4,4,4,8,130,0,0,40,0,0,0,0,0,0,4,8,1,7,7,0,1,0,33,179,179,179,38,22,284,63,0,0,0,0,0,14,0,0,11,11,16,17,17,17,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,22,62,40,12,12,0,0,8,8,8,0,0,0,0,9,9,1,11,126,0,0,0,0,0,0,0,4,0,137,137,17,137,137,0,4,141,141,141,11,141,11,0,0,0,0,4,91,0,0,0,0,9,,,
Amsterdam,"smart city,circular city,city in motion",57.3,58.2,63.2,73.1,1091000,8,9,Netherlands,NL,8,26,43,50,24,32,24,5,14,11,1708423,869,489,24,0,3,364,200,462,462,141,262,0,0,462,1080,249,338,462,262,0,0,17,426,17,17,103,17,17,17,17,422,17,1057,473,9,9,78256,78259,53351,17,0,0,5479,895,4,0,34823,34823,3,3,3,3,3,0,113,72,8261,7652,7633,7708,107,4,4,4,4,4,4,4,6,6,6,4,4,6,8,14,14,14,14,14,14,14,7,7,7,74,8,7,7,0,72,72,79,72,124,83,4,0,737,737,893,778,778,577,6909,34872,58532,460,20,0,0,0,0,0,0,0,7,7,7,7,7,7,7,582,14,602,48799,32,49088,0,0,7880,75,8747,953,7879,7753,27529,29077,130,293,604,294,110,6006,6073,6073,6073,6074,768,110,110,930,0,0,0,0,0,0,0,0,5345,16,52108,0,0,78439,443,630,29312,29312,29313,88294,51453,17,1403,6611,540,6593,186,0,0,0,29928,109,6728,1167,80314,0,0,0,0,0,1847,26903,28440,6228,6227,2630,5256,8451,801,801,801,801,801,801,801,754,7052,3,3,7816,0,0,0,0,0,10,1278,788,49,112,331,0,81,24,2040,57802,57804,57805,5689,4519,84903,322,0,64,1302,0,9,383,0,0,1146,1146,1756,1931,1931,1931,124,277,1,0,44,24500,173,28693,0,0,0,481,1,1308,0,1060,8793,7733,9,9,20,9,764,764,764,0,0,0,0,236,236,51,273,6844,9,0,0,0,0,0,0,798,24,7980,7983,2501,7987,7989,14,772,9720,9721,9722,1532,9723,1781,0,0,0,0,847,311,0,0,153,8,26,,,
Ankara,"smart city,city in motion",69.2,77.2,69.2,69.5,4750000,5,57,Turkey,TR,136,153,115,97,144,136,117,146,130,115,27531,3,7,0,0,0,24,15,24,24,13,9,0,0,24,20,11,10,24,9,0,0,0,6,0,0,0,0,0,0,0,15,0,20,7,0,0,647,647,487,0,0,0,382,3,1,0,615,615,0,0,0,0,0,0,29,15,171,130,130,133,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,7,90,0,0,13,13,18,14,14,7,89,623,886,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,15,497,0,508,0,0,154,3,216,66,154,135,9,9,1,5,7,5,1,407,408,408,408,408,14,1,1,22,0,0,0,0,0,0,0,0,1,2,432,0,0,667,12,7,151,151,151,1064,393,0,53,433,20,433,5,0,0,0,334,1,436,35,795,0,0,0,0,0,591,9,9,396,396,132,370,470,8,8,8,8,8,8,8,69,441,0,0,152,0,0,0,0,0,0,0,33,1,1,24,0,1,1,89,587,587,587,114,79,878,152,0,1,9,0,0,3,0,0,33,33,46,49,49,49,8,3,0,0,0,3,0,9,0,0,0,9,0,9,0,68,220,152,0,0,0,0,69,69,69,0,0,0,0,3,3,1,3,440,0,0,0,0,0,0,0,8,0,485,485,58,485,485,0,14,521,521,521,46,521,42,0,0,0,0,8,140,0,0,6,0,6,,,
Antwerp,city in motion,N/A,N/A,N/A,N/A,1042000,N/A,N/A,Belgium,BY,76,121,100,33,73,82,20,114,54,36,13634,4,10,0,0,0,5,3,5,5,1,2,0,0,5,5,4,2,5,2,0,0,0,9,0,0,1,0,0,0,0,3,0,4,2,0,0,464,464,248,0,0,0,123,4,0,0,330,330,0,0,0,0,0,0,3,1,78,53,50,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,8,8,8,1,39,0,0,3,3,4,4,4,2,89,329,468,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,0,2,332,0,344,0,0,66,8,82,23,66,62,2,14,3,6,24,6,1,128,128,128,128,128,3,1,1,5,0,0,0,0,0,0,0,0,0,1,297,0,0,467,10,24,116,116,116,610,285,0,19,143,3,141,3,0,0,0,177,1,141,20,515,0,0,0,0,0,201,2,13,127,127,37,124,150,27,27,27,27,27,27,27,26,142,0,0,65,0,0,0,0,0,6,1,4,2,8,11,0,5,2,38,428,429,429,125,105,620,34,0,1,0,0,0,20,0,0,9,9,19,20,20,20,15,18,0,0,0,13,0,13,0,0,0,7,0,0,0,27,85,58,3,3,0,0,26,26,26,0,0,0,0,16,16,2,18,144,0,0,0,0,0,0,0,26,0,155,155,15,155,155,1,3,162,162,162,15,162,6,0,0,0,0,27,7,0,0,0,0,0,,,
Ashburn,normal city,N/A,N/A,N/A,N/A,50290,N/A,N/A,United States of America,US,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3685583,87,1046,44,0,20,2698,566,3187,3187,1443,2621,0,0,3188,1063,1126,3162,3181,2617,0,0,26,913,26,26,185,26,26,25,25,314,29,1031,407,7,7,100195,100202,329028,29,0,0,31623,92,10,0,48233,48231,20,20,20,20,20,0,269,195,26021,24580,24563,24634,1289,9,9,9,9,9,9,9,4,4,4,7,7,15,9,33,33,33,33,33,33,33,19,19,28,262,38,32,32,0,254,254,273,254,1563,316,29,1,625,625,711,660,660,480,3812,48312,86434,3186,47,0,0,0,0,0,0,0,27,27,27,27,27,27,27,1308,13,7531,66563,53,77249,0,0,24875,63,25552,708,24874,24801,33616,34716,196,630,1338,630,66,33853,34047,34050,34052,34064,646,66,66,750,0,0,0,0,0,0,0,0,2322,60,63051,0,0,100725,387,1375,31902,31901,31903,129246,60773,45,6752,35586,3802,35400,125,0,0,0,255805,67,37865,3216,107084,0,0,0,0,0,1045,33512,34599,37419,37420,12276,28986,47908,1671,1671,1670,1669,1669,1670,1671,1567,38791,20,20,24821,0,0,0,0,0,17,140,4705,146,344,1478,0,9,105,3854,72779,72781,72786,9822,6601,113806,1213,0,32,289,0,7,1240,0,0,4289,4289,6901,7611,7613,7614,240,836,2,0,136,34756,444,35297,0,0,0,175,161,292,0,822,25637,24815,0,0,12,7,1574,1574,1575,0,0,0,0,747,747,117,823,38376,7,0,0,0,0,0,0,1667,60,44754,44759,14796,44760,44770,37,658,53432,53436,53449,4166,53458,12682,0,0,0,0,1794,24,4,4,283,6,36,,,
Asunción,city in motion,N/A,N/A,N/A,N/A,3337000,N/A,N/A,Paraguay,PY,131,158,107,75,8,146,163,161,167,135,20997,9,6,0,0,1,8,3,8,8,5,5,0,0,8,67,7,6,8,5,0,0,0,5,0,0,0,0,0,0,0,33,0,64,28,0,0,697,697,442,0,0,0,250,9,0,0,457,457,1,1,1,1,1,0,18,17,193,143,142,146,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,43,43,59,46,46,35,25,458,856,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,7,598,5,601,0,0,150,4,170,20,150,145,31,31,1,4,8,4,6,254,254,254,254,255,45,6,6,63,0,0,0,0,0,0,0,0,4,0,288,0,0,686,2,8,87,87,87,945,273,0,17,261,9,261,0,0,0,0,304,7,263,75,782,0,0,0,0,0,83,29,29,255,255,54,243,289,9,9,9,9,9,9,9,2,273,1,1,153,0,0,0,0,0,0,1,9,0,0,9,0,1,0,89,401,401,401,110,35,815,73,0,3,5,0,0,3,0,0,21,21,26,30,30,30,2,0,0,0,0,15,0,29,0,0,0,3,0,5,0,23,178,155,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,9,0,291,291,38,291,291,0,45,323,323,323,24,323,25,0,0,0,0,10,39,0,0,5,0,7,,,
