,gini_value,exposureperperson
2,33.2,0.06555938151494095
3,27.6,0.0030749378577455467
6,51.3,0.003018000365118967
9,41.4,0.07302740286751042
10,34.4,0.7363297333783331
12,34.4,0.3332479607843138
13,29.7,0.3335874417055297
14,26.6,0.01737234441266397
17,32.4,0.008996459994292272
19,25.4,0.041186421843581345
20,27.4,0.39233384814495254
21,53.3,3.2372386934673365
22,47.8,0.0012777695289944728
24,37.4,0.04143601036269429
25,44.0,0.02177429109911762
26,33.0,0.048470923498933255
27,53.3,0.10729961734693874
29,53.9,0.16142129102978475
33,40.4,0.34650174150834767
34,35.3,0.01892150409032197
35,38.6,0.003966218148179294
38,46.6,0.001725563173359451
39,34.0,0.6854109135710879
42,56.2,0.005803602484472048
43,43.3,0.00012660416413003776
44,46.6,0.1438412272441934
45,38.5,0.0376552758795101
48,50.4,0.04565371601972254
49,45.3,0.0262036557867889
51,48.3,0.07687699254024344
52,41.5,0.00134013192812192
53,31.1,0.15746825822168095
56,34.0,0.16284449047224522
57,25.9,0.5726435801662151
58,28.2,0.20084730662983416
59,41.6,0.09063755060728745
61,45.7,0.05386814159292035
62,44.7,0.07934921498611351
63,31.8,0.004530460062149431
64,38.0,0.016509081097748998
67,32.7,0.8235480030143179
68,51.5,1.7383246551724132
69,35.0,0.00042611426185588545
74,27.1,0.5370794260963727
75,32.7,0.9489952661090174
79,38.0,0.004602021563342317
80,37.9,0.04559909751817495
81,31.7,0.6469241120022916
82,43.5,0.002148012744183052
84,36.0,0.09180785762256549
89,48.3,0.013167788568876971
91,33.7,0.0006573821670600779
92,50.7,0.002225762195121951
94,41.1,0.0009790844514601421
97,50.5,0.021252458354366472
99,30.4,0.9944467391304344
101,35.7,0.011886732574688186
102,38.1,0.025045146312572215
103,40.0,0.15448646553879491
104,29.5,0.007338062799890609
105,31.8,2.1235608545970046
107,38.9,0.09943339879852126
108,35.4,0.36416127981211327
109,45.5,0.011317629179331308
110,32.1,0.29419412299566694
112,33.7,3.523917818288738
113,27.5,0.03217791979549451
114,40.8,0.005001526845325547
115,37.0,1.9860336134453782
117,27.3,0.010801839362354381
118,36.4,0.005418457943925235
119,34.2,0.46601108165429495
120,31.8,2.2181097289377285
121,54.2,0.0254703548085901
122,35.3,0.0009807038355081061
125,37.4,1.1254441954445258
126,33.8,1.4297765175718848
128,42.6,0.00787902206493084
129,44.7,0.0011808886565603763
130,41.0,0.06389245504541802
133,33.0,1.6754296380090499
134,29.4,0.5611745762711865
136,32.6,0.004359182795698925
137,38.5,1.4095599056603774
139,48.3,0.02006742183924986
141,32.3,0.03218642464917632
142,31.9,0.24934347133757953
144,39.5,0.007942326135840264
145,54.0,0.004459353703407456
146,38.1,0.0026736133063775033
147,59.1,0.014967689885871719
149,32.8,0.008027391289425813
150,28.2,1.1634443594981039
153,46.2,0.008060739622641509
154,34.3,0.0009725492626099888
155,43.0,0.010899679344135058
159,35.6,0.06214632741238598
161,27.5,0.22802372256041326
163,33.5,0.0032536913967006515
165,49.9,0.22630570104287373
166,41.9,0.025159047725494578
167,48.8,0.029434852095892326
168,43.3,0.01882028387722916
169,44.4,0.014017027586899196
170,31.8,0.6425850291965014
171,35.5,0.1554995685005394
174,25.9,0.4420089241447693
176,35.9,0.3380001403472294
177,37.7,0.2011285999150301
178,43.7,0.0032896463866584316
190,40.3,0.01595034042044912
191,39.6,0.06281521117088244
192,46.8,4.42909081632653
193,34.0,0.002832380594208348
196,26.5,0.17258514652014656
197,25.4,0.44894362674362653
198,37.1,0.004792867540029114
200,63.0,0.0786503566069231
202,31.6,0.23784143244455722
204,36.2,0.1284672099240723
205,39.8,0.010350133096716951
207,35.4,0.0023524208077721274
208,57.6,0.017582964224872245
210,29.2,0.4804255470838691
211,32.3,0.3857522472559212
212,35.8,0.024834769441746198
214,34.0,0.004708251205703506
215,36.5,0.10784816045845277
216,48.9,0.0055579557810801
217,42.1,0.0002761905293598776
219,28.7,0.014752352048558421
220,43.1,0.013087812537746107
223,40.3,0.026173838456040027
224,32.8,0.011171317370335894
225,41.9,0.1440061703363807
226,40.8,0.013235533079091364
229,42.8,0.0020567699790328075
232,33.2,0.351820619862711
233,37.8,0.001631874644256203
235,41.5,0.7684879339462182
237,39.5,0.08432443868739203
238,35.3,0.07799368370731129
239,37.6,0.020204885993485355
240,46.9,0.01072732451821635
241,35.3,0.02253974665858494
244,36.7,0.3282810199155099
245,57.1,0.004045430809399479
246,43.2,0.005666204669313059
