capture_date,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
10/3/2020,90971,50014,1748,251,558,111595,55086,160107,160110,47738,105028,282,282,160110,417102,187796,124666,160111,105027,8,290,1008,44793,1008,1008,6655,1008,1008,1008,1008,115714,868,412405,115591,913,913,5104147,5104354,8007451,868,10,99,3015433,95349,349,12,3804012,3804017,558,558,558,558,558,16,70762,31501,1014453,735667,733360,743881,39353,286,286,286,286,286,286,286,167,167,167,312,312,384,1526,1293,1294,1293,1294,1293,1294,1294,531,531,674,7500,875,759,759,0,7450,7450,7981,7450,42802,291154,1307,1,336226,336225,368239,343457,343455,292432,544520,3804048,5768602,160113,3249,279,94,279,94,213,94,82,672,672,672,672,672,672,672,265293,4018,205025,3821324,12584,4010563,206,209,856317,9696,920981,71012,855493,832210,2562977,2694186,5268,34590,60111,34591,162771,3130812,3145270,3145263,3145267,3145262,338952,162771,162771,388669,287,287,287,287,287,287,287,287,112038,5573,2941959,221,215,5104467,55491,60312,1178006,1178008,1178010,7158125,2845812,965,402338,3298905,175795,3298902,32296,287,287,287,5787335,162771,3336395,133096,5403307,320,242,142,248,248,2051837,2567795,2699008,3240316,3240308,713972,2948195,3824721,68936,68932,68939,68932,68938,68932,68939,292398,3408931,558,558,864652,287,287,287,287,287,458,85214,234323,4052,10958,73942,70,21130,2300,248155,3505292,3505297,3505300,542542,409446,5812795,300621,0,4474,292986,0,913,40983,328,140,374699,374705,475983,511191,511186,511190,36066,29926,557,258,3478,1246019,15857,2710105,328,5,103,86661,1297,297261,11,141215,1000076,858862,7459,7459,865,913,292406,292408,292407,251,251,251,251,26727,26728,3229,29378,3356684,913,251,251,251,323,251,251,68939,1879,3672742,3672740,634591,3672751,3672753,4702,338963,4110702,4110690,4110682,364700,4110688,473079,148,135,38,148,73105,125506,114,114,40958,580,11502
10/17/2020,84817,50139,1873,245,539,108263,53192,152423,152423,46790,99231,241,241,152423,402665,183771,118092,152423,99231,13,250,1125,44478,1125,1125,7355,1125,1125,1125,1125,110069,993,398206,110745,856,856,4985127,4985493,7488456,993,16,75,2894707,88991,393,11,3688263,3688263,539,539,539,539,539,15,67456,30300,997262,725730,723440,733645,38630,289,289,289,289,289,289,289,176,176,176,275,275,343,1482,1408,1408,1408,1408,1408,1408,1408,478,478,606,6830,775,685,685,0,6785,6785,7263,6785,41980,259411,1284,1,324594,324594,355026,331466,331466,282802,528094,3688263,5607679,152423,3147,235,63,235,63,169,63,52,704,704,704,704,704,704,704,257262,3901,197042,3731039,12345,3915102,162,169,851783,9396,914221,68485,850974,828561,2488139,2621627,6046,34225,61043,34225,158391,3007972,3021971,3021971,3021971,3021971,327185,158391,158391,374142,249,249,249,249,249,249,249,249,92825,5257,2871878,183,178,4985493,54190,61693,1152261,1152261,1152261,6965735,2779181,1109,382527,3170069,163235,3170069,30949,249,249,249,5395111,158391,3206406,131182,5277226,285,212,118,214,214,1948011,2491034,2624520,3113475,3113475,685181,2836784,3673147,71259,71259,71259,71259,71259,71259,71259,263390,3276192,539,539,859945,249,249,249,249,249,509,80596,219714,3655,9963,72001,48,20247,2044,239969,3425128,3425128,3425128,533880,402698,5679924,265449,0,4195,277089,0,856,36828,292,118,354858,354858,453544,488275,488275,488275,35461,26838,472,223,2711,1195343,12878,2634505,292,3,81,82823,1219,281082,11,133947,988218,854271,6195,6195,798,856,263390,263390,263390,218,218,218,218,23986,23986,2867,26360,3226061,856,218,218,218,289,218,218,71259,1993,3531791,3531791,609179,3531791,3531791,4637,327185,3959261,3959261,3959261,350571,3959261,451860,124,115,43,124,75876,112161,101,101,38218,526,10304
10/31/2020,82634,54701,2239,227,518,105431,51724,142408,142410,45710,90684,256,256,142409,394374,189744,109036,142407,90684,15,264,1363,47707,1363,1364,8998,1364,1364,1364,1364,104556,1386,390194,106467,821,821,4894685,4894748,7179219,1386,19,85,2814472,86527,516,9,3592635,3592635,518,518,518,518,518,16,66339,30058,979205,717840,715616,725387,37748,339,339,339,339,339,339,339,180,180,180,258,258,316,1466,1720,1720,1720,1720,1720,1720,1720,456,456,585,7198,779,676,676,0,7184,7184,7640,7184,41002,247400,1254,1,316278,316278,344921,322748,322748,276925,512500,3592673,5493195,142407,3122,248,69,248,69,180,69,59,800,800,800,800,800,800,800,246336,3757,184871,3662413,9356,3845326,173,179,849915,8982,911821,67265,849125,827594,2493955,2628238,7557,36680,67589,36680,157012,2927178,2940942,2940947,2940923,2940935,318735,157013,157012,363279,265,265,265,265,265,265,265,265,84138,5039,2807998,197,190,4894836,52674,68866,1130693,1130693,1130693,6825053,2716861,1414,358987,3083580,148025,3083586,30765,265,265,265,5143755,157016,3119210,131358,5182672,301,220,126,226,226,1890742,2496456,2630731,3028669,3028656,658473,2771908,3646010,80443,80444,80445,80443,80443,80443,80447,316372,3184063,518,518,858254,265,265,265,265,265,661,76495,201646,3836,10557,69645,60,19551,2143,232583,3365947,3365940,3365938,539115,407751,5590471,247472,0,3942,264392,0,821,41537,303,123,351681,351681,447225,479445,479445,479443,36065,30941,492,229,2796,1211277,13022,2641328,303,1,89,80262,1163,268437,12,125353,978204,852857,6599,6599,788,821,315438,315438,315436,225,225,225,225,27844,27844,3045,30394,3133757,821,225,225,225,300,225,225,80453,2493,3508751,3508756,657544,3508748,3508749,4715,318449,3934970,3934966,3934977,351442,3934979,489818,129,121,41,129,86144,108770,94,94,36884,457,10016
11/14/2020,82310,53499,2190,218,513,104246,51028,141025,141025,45308,89997,245,245,141026,394177,190439,108030,141027,89996,14,252,1335,46579,1335,1335,8788,1335,1335,1335,1335,104160,1394,390006,106002,814,814,4872446,4872498,7170113,1394,18,84,2798183,86184,509,9,3572244,3572254,513,513,513,513,513,16,66364,30297,974827,714750,712566,722321,37354,338,338,338,338,338,338,338,183,183,183,254,254,313,1481,1669,1669,1669,1669,1669,1669,1669,451,451,581,7168,775,671,671,0,7156,7156,7607,7156,40589,242971,1225,1,315963,315963,344276,322398,322398,276554,511120,3572271,5464562,141027,3102,238,68,238,68,181,68,57,803,803,803,803,803,803,803,245075,3634,182508,3644618,9249,3828037,175,180,848217,8960,910225,67233,847418,825790,2503036,2636635,7412,35696,66102,35697,157156,2909356,2923093,2923107,2923099,2923103,318393,157156,157156,362589,254,254,254,254,254,254,254,254,81517,4989,2796389,197,190,4872624,52407,67347,1125100,1125101,1125104,6791142,2705566,1387,355169,3063869,147131,3063865,30720,254,254,254,5118584,157157,3099063,132250,5160836,285,215,120,221,221,1868709,2505532,2639132,3009030,3009034,651109,2755043,3680053,78706,78705,78708,78707,78708,78708,78708,316528,3163689,513,513,856619,254,254,254,254,254,628,76153,200033,3795,10530,69124,61,19469,2107,231642,3355126,3355126,3355130,539579,407329,5568223,246143,0,3924,263862,0,814,41704,290,120,355985,355983,450972,482478,482479,482482,34875,31193,471,228,2794,1216642,13302,2650014,290,2,90,80183,1176,267618,9,123387,974630,851243,6573,6573,777,814,316530,316529,316529,223,223,223,223,28152,28152,3027,30700,3117683,814,223,223,223,287,223,223,78707,2398,3547216,3547211,710714,3547220,3547232,4674,318407,3968041,3968044,3968050,355108,3968051,538956,124,118,38,124,84224,109065,98,98,36678,437,10034
11/28/2020,85211,52510,2169,238,520,102238,49465,138838,138837,45048,89372,202,202,138837,354025,206719,107228,138838,89373,15,208,1436,45775,1435,1436,8605,1436,1436,1436,1436,108653,1357,349742,84925,849,849,4976598,4976627,7647885,1357,18,73,2888937,89113,505,11,3649655,3649657,520,520,520,520,520,15,71426,33381,1007701,740308,738116,748174,36961,347,347,347,347,347,347,347,184,184,184,248,248,314,1509,1638,1638,1638,1638,1638,1638,1638,453,453,586,7248,775,672,672,0,7224,7224,7677,7224,40207,250702,1249,1,297523,297523,326827,304151,304150,256589,521364,3649718,5592075,138844,3130,193,56,193,56,144,56,46,780,780,780,780,780,780,780,253561,3600,180861,3717803,9406,3909679,141,148,890211,9234,955251,70571,889391,866617,2626345,2762589,7184,35207,64656,35207,157460,3000565,3014723,3014715,3014725,3014716,300044,157461,157461,346158,210,210,210,210,210,210,210,210,80434,4946,2850663,161,156,4976805,59415,65895,1148771,1148770,1148770,6951092,2758698,1339,363268,3163048,147699,3163050,32278,210,210,210,5477019,157464,3198193,143769,5281211,241,184,109,187,187,1951542,2628864,2765104,3099855,3099860,657493,2846344,4098254,76892,76892,76892,76893,76893,76892,76893,339082,3261493,520,520,898773,210,210,210,210,210,634,78875,201037,3804,10629,71833,52,20341,2131,243987,3443809,3443813,3443819,572537,428760,5710012,261318,0,4024,269904,0,849,35166,244,107,374002,374003,476015,505021,505023,505024,36876,24659,457,192,2756,1303870,14658,2777374,244,3,80,83668,1259,273764,6,124998,1018584,893582,6727,6727,770,849,339099,339098,339101,187,187,187,187,21628,21628,3033,24152,3214335,849,187,187,187,241,187,187,76895,2348,3960792,3960805,1031175,3960852,3960827,4777,300053,4382537,4382524,4382548,375577,4382565,844302,110,104,34,110,82234,126606,108,108,37969,433,11374
12/12/2020,82945,49593,2011,230,503,95485,46942,125812,125812,41569,78869,145,145,125807,313712,209718,95830,125810,78867,9,148,1341,43250,1341,1341,8059,1341,1341,1341,1341,107717,1151,309626,70427,820,820,4963177,4963509,7424681,1151,11,45,2775769,86188,472,8,3510848,3510846,503,503,503,503,503,15,74422,35861,1076677,800647,798317,808804,33773,330,330,330,330,330,330,330,163,163,163,231,231,299,1396,1513,1513,1513,1513,1513,1513,1513,429,429,539,6786,704,619,619,0,6770,6769,7198,6769,36799,236280,1218,0,276966,276965,305851,283339,283338,236051,517253,3510873,5465511,125813,2960,138,36,138,36,105,36,31,709,709,709,709,709,709,709,241370,3411,164225,3695470,9237,3878987,105,109,964013,9603,1033130,74787,963139,940347,2816810,2951530,6725,33181,60835,33180,151501,2883194,2896577,2896568,2896572,2896566,279416,151501,151501,324841,148,148,148,148,148,148,148,148,82709,4694,2828431,115,113,4963606,57808,61977,1165054,1165056,1165054,6832601,2739451,1219,333552,3037422,128968,3037416,32290,148,148,148,5387539,151502,3070241,151242,5275250,166,129,66,131,131,1938739,2817778,2952512,2974967,2974967,615972,2747107,4151561,72248,72246,72246,72248,72248,72247,72247,333489,3126844,503,503,973019,148,148,148,148,148,586,74925,179614,3513,9928,73323,31,19958,1983,256860,3440803,3440804,3440810,591439,440196,5715466,243101,0,3949,253703,0,820,30487,167,64,342925,342927,440986,468111,468109,468113,36704,20748,464,132,2535,1494874,15277,2966938,167,1,46,82487,1354,257531,5,131824,1099391,967563,6002,6002,770,820,333496,333495,333496,131,131,131,131,17951,17951,2832,20288,3084621,820,131,131,131,166,131,131,72245,2172,4022751,4022752,1195996,4022741,4022760,4608,279421,4429555,4429563,4429552,346335,4429552,1021338,69,63,20,69,77157,126424,84,84,37342,349,11015
12/26/2020,82093,48544,1960,231,503,95098,47074,124351,124349,41208,77276,102,102,124355,312151,214059,93929,124352,77278,9,104,1329,42484,1329,1328,7853,1329,1329,1329,1329,108182,1106,308074,69341,818,818,5001943,5002801,7432426,1106,10,31,2795432,85787,470,9,3511435,3511438,503,503,503,503,503,18,77696,37854,1128666,841763,839242,850380,33463,319,319,319,319,319,319,319,155,155,155,221,221,296,1353,1487,1487,1487,1487,1487,1487,1487,414,414,529,6664,687,608,608,0,6655,6654,7068,6655,36414,240584,1198,1,276312,276313,305289,282664,282666,235183,520307,3511495,5487808,124369,2921,94,22,94,22,66,22,19,692,692,692,692,692,692,692,239020,3354,160496,3724761,9370,3908711,68,72,1013684,10232,1086088,78274,1012791,988085,2911794,3047145,6532,32640,59674,32639,151607,2901778,2915129,2915125,2915132,2915123,278762,151607,151608,324339,104,104,104,104,104,104,104,104,86301,4716,2845449,76,75,5002955,56737,60805,1174750,1174752,1174751,6865810,2756404,1216,326604,3053381,125561,3053398,32408,104,104,104,5410358,151610,3085661,152687,5317840,116,86,45,87,87,1968968,2911955,3047298,2991471,2991469,608453,2769069,4190188,70821,70822,70821,70823,70823,70820,70819,333923,3142672,503,503,1023287,104,104,104,104,104,582,75239,175546,3399,9734,74581,22,19980,1904,262475,3465827,3465821,3465828,599012,446321,5764195,244865,0,3924,253632,0,818,29749,116,43,346321,346322,442685,469135,469126,469135,37396,20215,462,87,2426,1586585,14127,3061385,116,0,31,83002,1417,257430,3,137351,1154858,1017509,5703,5703,774,818,333926,333928,333928,87,87,87,87,17495,17495,2748,19768,3099873,818,87,87,87,116,87,87,70824,2141,4061111,4061106,1212838,4061108,4061091,4582,278772,4467421,4467442,4467436,347719,4467400,1035459,47,43,13,47,75613,127681,77,77,37398,339,10974
1/9/2021,78114,50351,1991,230,480,94498,47365,120174,120173,40571,72808,22,22,120174,289421,196789,89422,120173,72809,1,22,1269,44160,1269,1269,7998,1269,1269,1269,1269,105073,1115,285452,63271,815,815,4990128,4991441,7033088,1116,1,8,2807788,81730,447,9,3402036,3402031,480,480,480,480,480,16,81229,40728,1193231,895905,893152,905303,32926,344,344,344,344,344,344,344,155,155,155,216,216,279,1358,1492,1492,1492,1492,1492,1492,1492,397,397,516,6399,672,590,590,0,6370,6370,6767,6370,35839,251168,1196,1,257712,257713,285644,263875,263876,217203,517894,3402039,5401953,120173,2823,21,7,21,7,16,7,6,705,705,705,705,705,705,705,227922,3375,154166,3724928,9416,3904906,16,17,1063843,11215,1139210,81795,1062901,1036435,3004424,3138383,6684,34224,61591,34224,140020,2915240,2928292,2928292,2928299,2928293,260078,140018,140020,303737,22,22,22,22,22,22,22,22,85903,4648,2812893,17,17,4991441,49942,62765,1165387,1165385,1165385,6766923,2725573,1224,323900,3070515,118871,3070515,31506,22,22,22,5181640,140020,3101802,152226,5303476,25,20,12,20,20,1961701,3004501,3138464,3014471,3014473,605513,2799489,4152414,72928,72929,72926,72929,72928,72928,72928,299499,3158978,480,480,1074130,22,22,22,22,22,578,72892,167732,3309,9325,73306,5,19249,1871,263306,3440959,3440955,3440961,606286,454071,5757529,230203,0,3778,243724,0,815,28369,25,11,355032,355030,443485,469125,469122,469121,37861,19277,448,20,2276,1699135,13765,3152138,25,0,7,81384,1534,247350,0,140493,1208180,1067706,5146,5146,731,815,299497,299498,299499,20,20,20,20,16721,16721,2677,18852,3115412,815,20,20,20,25,20,20,72929,2090,4023467,4023491,1145805,4023493,4023496,4326,260078,4457874,4457874,4457867,349284,4457870,965877,12,11,3,12,77633,119354,74,74,35806,252,9883
1/23/2021,79369,48038,1921,237,482,94484,47661,119758,119759,40217,72092,6,6,119778,293165,189835,88369,119759,72088,0,6,1253,42114,1253,1253,7592,1253,1253,1253,1253,106462,1071,289090,62828,826,826,5057807,5059159,7183919,1071,0,4,2863419,83016,421,11,3418647,3418560,482,482,482,482,482,17,83848,42524,1223240,918431,915782,928185,32592,321,321,321,321,321,321,321,152,152,152,213,213,289,1350,1448,1448,1448,1448,1448,1448,1448,401,401,514,6367,672,589,589,0,6342,6341,6742,6342,35503,253397,1169,1,261738,261738,289841,268019,268020,220744,523221,3417495,5460135,119709,2834,6,4,6,4,5,4,4,678,678,678,678,678,678,678,227572,3319,152213,3784320,9618,3966401,5,5,1082562,11551,1159576,83516,1081608,1054551,3057130,3192661,6310,32516,58709,32517,143803,2967811,2980983,2980976,2980971,2980984,264153,143804,143804,308328,6,6,6,6,6,6,6,6,88303,4728,2833308,5,5,5056946,50193,59855,1170564,1170562,1170566,6832628,2745169,1162,330221,3131504,118183,3131509,32010,6,6,6,5309113,143807,3162640,154757,5371153,6,5,4,5,5,2011924,3057234,3192766,3074539,3074515,612520,2862224,4201665,69497,69495,69496,69496,69497,69497,69496,312820,3221121,482,482,1093264,6,6,6,6,6,539,73966,167199,3318,9317,72374,2,19414,1871,265676,3477116,3477105,3477117,621623,466861,5838046,238744,0,3825,246993,0,827,28526,6,4,362604,362603,451539,476712,476710,476713,39010,19385,454,5,2263,1750369,14126,3206867,6,0,2,82677,1565,250662,0,141120,1227889,1086766,5230,5230,730,827,312832,312831,312830,5,5,5,5,16800,16800,2699,18968,3176269,827,5,5,5,6,5,5,69499,2008,4068936,4068946,1128172,4068940,4068951,4175,264173,4503413,4503408,4503424,354866,4503422,943806,4,4,0,4,73963,125692,73,73,36182,256,10145
2/6/2021,80416,46629,1847,238,474,91611,45635,116760,116756,39646,71122,0,0,116759,289153,117385,87419,116755,71126,0,0,1218,40777,1218,1218,7270,1218,1218,1218,1218,106382,1156,285180,59724,812,812,5104529,5104592,7206544,1156,0,0,2733994,84015,412,14,3378712,3378719,474,474,474,474,474,16,81500,41713,1213931,913638,911116,923190,32167,308,308,308,308,308,308,308,152,152,152,231,231,296,1363,1387,1387,1387,1387,1387,1387,1387,417,417,528,6451,688,603,603,0,6445,6445,6861,6445,35082,248482,1175,1,260109,260109,287931,266280,266279,218961,522505,3378746,5493705,116761,2825,0,0,0,0,0,0,0,659,659,659,659,659,659,659,213895,3480,150871,3864737,9523,4034447,0,0,1011897,11185,1088935,83210,1011022,986343,2967179,3109985,6155,31409,57077,31409,145002,2836725,2848985,2848982,2848990,2848992,262475,145002,145002,306573,0,0,0,0,0,0,0,0,80054,4595,2800777,0,0,5104699,48592,58193,1152356,1152354,1152359,6834306,2712533,1165,331145,3003104,117259,3003092,32265,0,0,0,5374482,145002,3034081,159293,5412115,0,0,0,0,0,2026887,2967278,3110086,2947221,2947208,610174,2737119,3744454,67674,67673,67676,67671,67674,67674,67672,322400,3089722,474,474,1022561,0,0,0,0,0,535,73249,166043,3303,9435,61931,0,19345,1874,269109,3468727,3468730,3468735,646397,487100,5899263,232766,0,3795,242768,0,812,28495,0,0,320463,320464,407937,432370,432372,432370,40412,19379,438,0,2269,1667593,16522,3126564,0,0,0,83291,1483,246446,0,139143,1155791,1016651,5497,5497,694,812,322407,322405,322405,0,0,0,0,16844,16843,2630,18959,3047755,812,0,0,0,0,0,0,67676,1971,3631069,3631080,816707,3631090,3631082,4287,262479,4051929,4051908,4051903,321583,4051924,656372,0,0,0,0,72068,131008,57,57,36004,275,10554
