port,port_number,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
Port 11,11,30177,1,0,0,0,0,14,11,15,15,3,4,0,0,15,0,2,4,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,1187,2,0,0,0,0,0,0,0,0,0,0,33,24,111,60,59,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,82,11,92,15,82,74,0,0,0,0,0,0,0,1200,1201,1201,1201,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,13,1207,6,1207,12,0,0,0,441,0,1209,0,0,0,0,0,0,0,0,0,0,1201,1201,48,1193,1222,0,0,0,0,0,0,0,2,1212,0,0,90,0,0,0,0,0,0,0,9,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15,15,23,24,24,24,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,26,104,78,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,1174,1184,19,1184,1184,2,0,1263,1263,1263,20,1263,13,0,0,0,0,0,0,0,0,0,0,0
Port 21,21,110111,4,0,0,0,0,13,11,14,14,2,3,0,0,14,0,2,3,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,0,0,0,1171,4,0,0,0,0,0,0,0,0,0,0,36,25,140,64,63,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,81,7,94,12,81,73,0,0,0,0,0,0,0,1183,1184,1185,1185,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,17,1194,6,1194,5,0,0,0,312,0,1195,0,0,0,0,0,0,0,0,0,0,1185,1185,46,1178,1207,0,0,0,0,0,0,0,15,1197,0,0,90,0,0,0,0,0,0,3,9,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,25,26,26,26,0,0,0,0,0,0,0,0,0,0,0,80216,0,0,0,25,105,80,0,0,0,0,15,15,15,0,0,0,0,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,1162,1181,20,1181,1181,1,0,1273,1273,1273,23,1273,12,0,0,0,0,0,0,0,0,0,0,0
Port 22,22,12513242,0,0,0,0,0,17,11,18,18,6,7,0,0,18,0,2,8,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6453610,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,42,28,140,88,86,96,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,107,10,116,13,107,99,0,0,0,0,0,0,0,116,120,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,20,123,11,123,28747,0,0,0,4904517,0,124,0,0,0,0,0,0,0,0,0,0,119,119,49,103,140,0,0,0,0,0,0,0,283508,127,0,0,114,0,0,0,0,0,0,2,14,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,15,15,21,23,23,23,0,2,0,0,0,0,0,0,0,0,0,21,0,7,0,26,130,104,0,0,0,0,279369,279376,279386,0,0,0,0,0,0,2,2,122,0,0,0,0,0,0,0,0,0,129,130,22,130,130,0,0,143,143,143,20,143,17,0,0,0,0,0,0,0,0,0,0,0
Port 23,23,16480,1,0,0,0,0,15,8,15,15,8,7,0,0,15,0,1,7,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6729,0,0,0,106,1,0,0,0,0,0,0,0,0,0,0,32,25,109,55,55,65,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,78,10,87,17,78,68,0,0,0,0,0,0,0,111,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,16,115,10,115,20,0,0,0,5129,0,116,0,0,0,0,0,0,0,0,0,0,108,108,42,96,126,0,0,0,0,0,0,0,127,117,0,0,84,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,19,20,20,20,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,26,95,69,0,0,0,0,125,125,125,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,120,123,20,123,123,1,0,136,136,136,19,136,17,0,0,0,0,0,0,0,0,0,0,0
Port 24,24,3079,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,6,5,16,9,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,2,12,2,11,11,0,0,0,0,0,0,0,82,83,83,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,84,0,84,0,0,0,0,355,0,84,0,0,0,0,0,0,0,0,0,0,82,82,7,80,85,0,0,0,0,0,0,0,21,84,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,14,11,0,0,0,0,21,21,21,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,81,82,3,82,82,0,0,97,97,97,4,97,2,0,0,0,0,0,0,0,0,0,0,0
Port 25,25,176556,29689,0,0,182,0,19,8,20,20,11,12,0,0,20,0,1,12,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0,0,0,117,30779,0,0,0,0,0,0,0,0,0,0,37,27,117,66,65,73,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,84,8,96,12,84,78,0,0,0,0,0,0,0,123,124,124,124,124,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,24,128,17,128,0,0,0,0,437,0,129,0,0,0,0,0,0,0,0,0,0,122,122,50,102,139,0,0,0,0,0,0,0,16,130,0,0,93,0,0,0,0,0,0,30840,20,0,0,0,0,17507,0,6,0,0,0,0,0,0,0,0,0,30561,0,0,0,0,0,15,15,20,22,21,21,0,0,0,0,0,0,0,0,0,0,0,6,0,31388,0,17,104,87,0,0,0,0,16,16,16,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,131,131,27,131,131,0,0,148,148,148,18,148,23,0,0,0,0,0,0,0,0,0,0,0
Port 26,26,98848,439,0,0,4,0,15,12,17,17,3,5,0,0,17,0,2,5,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3836,0,0,0,129,474,0,0,0,0,0,0,0,0,0,0,39,26,118,67,66,75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,0,0,91,9,98,13,91,79,0,0,0,0,0,0,0,133,134,134,134,134,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,16,139,8,139,5,0,0,0,2833,0,140,0,0,0,0,0,0,0,0,0,0,133,133,47,123,154,0,0,0,0,0,0,0,81,141,0,0,97,0,0,0,0,0,0,1472,11,0,0,0,0,376,0,17,0,0,0,0,0,0,0,0,0,42105,0,0,0,0,0,16,15,22,23,22,22,0,0,0,0,0,0,0,0,0,0,0,6,0,41928,0,29,113,84,0,0,0,0,81,81,81,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,139,139,16,139,139,0,0,230,230,230,20,230,11,0,0,0,0,0,0,0,0,0,0,0
Port 80,80,89942782,2,29867,1001,0,110,40996,19430,50470,50469,17649,31039,0,0,50470,0,32316,38984,50475,31041,0,0,659,26594,659,659,3814,659,659,659,659,0,529,0,0,0,0,2943269,2943305,1172,529,0,0,1137816,2,205,0,1961779,1961784,110,110,110,110,110,13,51720,23862,934417,715640,713902,719988,15049,187,187,187,186,186,186,186,92,92,92,96,96,145,523,724,724,724,724,724,724,724,204,204,253,3294,343,294,294,0,3290,3290,3494,3290,16454,190951,519,0,0,0,0,0,0,0,288115,1962437,3243037,50493,1385,0,0,0,0,0,0,0,380,380,380,380,380,380,380,145503,1292,73098,2264890,3441,2353423,0,0,742999,5382,771514,31793,742330,727371,396903,406972,2382,21239,34935,21239,0,1196290,1201066,1201076,1201077,1201086,0,0,0,0,0,0,0,0,0,0,0,0,3135,1926,1569062,0,0,2946561,20000,35299,645782,645780,645783,3986016,1522579,482,143619,1262687,51555,1262713,22,0,0,0,846,0,1277301,91972,3115063,0,0,0,0,0,768590,396938,407008,1237117,1237124,276423,1138761,1402925,39275,39275,39275,39271,39272,39272,39271,109,1290935,108,108,748855,0,0,0,0,0,248,1,77062,1509,4471,28183,0,2,926,147042,1940416,1940432,1940451,356991,264975,3381269,0,0,0,0,0,0,13153,0,0,71809,71767,110938,121639,121629,121618,15312,8723,0,0,944,27289,825,407459,0,0,0,1,31,1,0,71497,814612,743119,0,0,307,0,108,108,108,0,0,0,0,7669,7669,1213,8540,1277239,0,0,0,0,0,0,0,39136,852,1380621,1383482,208838,1383515,1383522,1586,0,1552550,1552561,1552575,87098,1552594,171465,0,0,0,0,41005,0,0,0,0,0,0
Port 81,81,1697758,0,108,2,0,0,726,366,834,834,325,468,0,0,834,0,260,558,834,468,0,0,1,98,1,1,9,1,1,1,1,0,2,0,0,0,0,53628,53629,1060,2,0,0,21899,0,1,0,54339,54339,0,0,0,0,0,0,2044,804,21198,11037,11027,11161,293,0,0,0,0,0,0,0,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,10,38,10,10,10,0,28,28,29,28,301,3013,26,0,0,0,0,0,0,0,6761,54422,73707,840,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1367,19,780,44294,244,45106,0,0,11819,130,12199,423,11822,11319,521,524,7,69,120,69,0,22614,22707,22709,22710,22711,0,0,0,0,0,0,0,0,0,0,0,0,16,30,27202,0,0,53730,571,120,8819,8819,8819,83795,26144,1,2293,23920,856,23922,3,0,0,0,624,0,24033,1071,57165,0,0,0,0,0,45039,521,524,23169,23169,5084,21972,25066,134,134,134,134,134,134,134,13,24284,0,0,12030,0,0,0,0,0,1,0,1061,31,49,1364,0,0,17,2492,31887,31888,31889,4460,3389,60590,0,0,0,0,0,0,120,0,0,1109,1107,2171,2328,2327,2327,461,84,0,0,7,405,9,528,0,0,0,3,0,0,0,1805,13766,11961,0,0,2,0,12,12,12,0,0,0,0,77,77,15,82,24024,0,0,0,0,0,0,0,135,3,24752,25001,2441,25000,25002,20,0,31868,31868,31870,1648,31873,1637,0,0,0,0,146,0,0,0,0,0,0
Port 82,82,503923,0,12,0,0,1,259,155,294,294,81,139,0,0,294,0,137,177,294,139,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,14838,14838,399,0,0,0,6895,0,0,0,12237,12237,1,1,1,1,1,0,607,220,6331,5028,5010,5063,72,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,13,13,13,13,77,956,0,0,0,0,0,0,0,0,2514,12268,19265,295,8,0,0,0,0,0,0,0,1,1,1,1,1,1,1,216,9,228,13351,101,13691,0,0,5253,51,5364,113,5253,5137,74,74,2,7,14,7,0,7109,7135,7135,7135,7135,0,0,0,0,0,0,0,0,0,0,0,0,3,10,6175,0,0,14859,144,13,1275,1275,1275,21028,5914,0,822,7610,260,7611,3,0,0,0,331,0,7651,339,15722,0,0,0,0,0,15418,74,74,7259,7260,1791,6825,8242,16,16,16,16,16,16,16,10,7735,1,1,5337,0,0,0,0,0,0,0,342,2,14,204,0,0,1,785,7812,7812,7813,1459,1120,16858,0,0,0,0,0,0,33,0,0,471,470,732,1144,1144,1144,801,20,0,0,1,50,6,80,0,0,0,1,0,0,0,578,5884,5308,0,0,0,0,10,10,10,0,0,0,0,20,20,2,20,7570,0,0,0,0,0,0,0,16,2,7829,7895,838,7895,7895,7,0,10495,10496,10497,589,10497,616,0,0,0,0,20,0,0,0,0,0,0
