city,population_2020,population_source,capture_date,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010,,,,,,,,,,,,,,,,,,,,
A Coruña,N/A,N/A,11/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almaty,1896000,macrotrends,11/16/2020,27929,29,4,0,0,0,15,9,18,18,5,9,0,0,18,52,7,13,18,9,0,0,0,3,0,0,0,0,0,0,0,14,0,52,23,0,0,809,809,1070,0,0,0,303,29,0,0,684,684,0,0,0,0,0,0,13,10,175,121,121,122,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,5,5,4,21,1,0,30,30,37,31,31,28,80,685,1073,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,30,661,1,670,0,0,126,1,157,33,126,123,24,24,0,1,5,1,6,347,349,349,349,349,32,6,6,41,0,0,0,0,0,0,0,0,5,1,378,0,0,809,5,5,146,146,146,1230,373,0,62,375,19,375,7,0,0,0,842,6,377,17,839,0,0,0,0,0,359,24,24,376,376,127,322,451,5,5,5,5,5,5,5,16,387,0,0,127,0,0,0,0,0,0,47,45,1,6,8,0,7,0,54,444,444,444,65,48,887,203,0,2,12,0,0,8,0,0,43,43,55,60,60,60,1,6,0,0,0,20,2,26,0,0,0,23,0,12,0,40,164,124,0,0,0,0,16,16,16,0,0,0,0,6,6,0,6,386,0,0,0,0,0,0,0,5,0,426,426,86,426,426,0,32,487,487,487,48,487,83,0,0,0,0,5,64,0,0,10,0,15,426,0,32,487,487,487,48,487,83,0,0,0,0,5,64,0,0,10,0,15
Amman,2148000,macrotrends,11/16/2020,7441,0,0,0,0,0,9,7,9,9,2,2,0,0,9,7,1,2,9,2,0,0,0,0,0,0,0,0,0,0,0,13,0,7,0,0,0,223,223,125,0,0,0,97,0,0,0,147,147,0,0,0,0,0,0,7,3,56,30,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,3,2,28,0,0,6,6,7,6,6,2,35,147,255,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,181,4,184,0,0,37,2,43,6,37,36,0,0,1,0,2,0,0,106,106,106,106,106,6,0,0,13,0,0,0,0,0,0,0,0,0,1,120,0,0,222,3,2,33,33,33,300,109,0,11,113,4,113,2,0,0,0,78,0,113,12,246,0,0,0,0,0,91,0,0,103,103,53,99,120,3,3,3,3,3,3,3,5,117,0,0,40,0,0,0,0,0,0,2,7,0,3,2,0,10,0,15,143,143,143,22,10,256,73,0,0,0,0,0,9,0,0,8,8,13,18,18,18,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,9,49,40,14,14,0,0,5,5,5,0,0,0,0,7,7,0,9,112,0,0,0,0,0,0,0,3,0,121,121,13,121,121,0,6,129,129,129,11,129,9,0,0,0,0,3,60,0,0,1,0,5,121,0,6,129,129,129,11,129,9,0,0,0,0,3,60,0,0,1,0,5
Antwerp,1042000,World Population Review,11/16/2020,19172,3,5,0,0,0,5,2,5,5,2,3,0,0,5,6,3,4,5,3,0,0,0,5,0,0,0,0,0,0,0,3,0,5,3,0,0,659,659,337,0,0,0,163,3,0,0,761,761,0,0,0,0,0,0,11,2,112,69,69,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,2,24,0,0,4,4,5,5,5,4,200,760,935,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,516,0,539,0,0,73,4,96,26,73,73,14,40,0,3,4,3,2,166,166,166,166,166,4,2,2,6,0,0,0,0,0,0,0,0,0,0,413,0,0,659,5,4,130,130,130,1095,404,0,17,177,4,177,2,0,0,0,231,2,177,22,703,0,0,0,0,0,167,14,40,170,170,46,165,200,4,4,4,4,4,4,4,20,182,0,0,75,0,0,0,0,0,0,11,6,0,3,4,0,9,0,46,541,541,541,118,96,801,39,0,2,5,0,0,10,0,0,17,17,23,24,24,24,4,6,0,0,0,41,0,41,0,0,0,32,0,8,0,30,102,72,4,4,0,0,20,20,20,0,0,0,0,6,6,0,6,178,0,0,0,0,0,0,0,4,0,199,199,26,197,197,3,4,246,246,246,21,246,14,0,0,0,0,4,11,0,0,3,0,1,197,3,4,246,246,246,21,246,14,0,0,0,0,4,11,0,0,3,0,1
Ashburn,50290,World Population Review,11/14/2020,4317725,109,1369,53,0,24,"4,011",828,"4,761",4761,2131,3933,0,0,4763,11138,1614,4786,4763,"3,935",0,0,35,1196,35,35,265,35,35,35,35,412,39,"11,122",5215,11,11,124075,"124,079",332412,39,0,0,33083,115,13,0,61510,61512,24,24,24,24,24,0,322,239,28590,26697,26668,26772,1848,14,14,14,14,14,14,14,4,4,4,19,19,25,9,37,37,37,37,37,37,37,33,33,42,344,65,58,58,0,323,323,356,323,2251,370,36,1,5489,"5,489","5,592",5551,"5,551",5348,5564,"61,538","104,707",4770,73,0,0,0,0,0,0,0,38,38,38,38,38,38,38,1416,32,11891,"81,376",76,"96,632",0,0,"27,027",94,"27,893",925,"27,026","26,936","25,051","26,129",270,801,"1,787",800,109,36454,"36,736","36,735",36734,36733,5540,109,109,"5,663",0,0,0,1,1,1,1,1,"1,561",115,"82,736",1,1,"124,319",616,"1,851","39,625","39,627","39,627","159,814","79,325",56,"11,003","39,954","5,849","39,954",149,1,1,1,"271,631",106,"42,931","4,175","132,793",1,1,1,1,1,"1,321","24,556","25,616","42,165","42,170","19,286",28882,56873,2224,2224,2225,2225,2225,2225,2225,1345,44285,24,24,26778,1,1,1,1,1,22,163,7355,216,435,2354,0,15,156,4965,92427,92429,92433,10503,6329,139173,1599,0,60,311,0,11,2090,1,0,6904,6904,10909,12025,12024,12024,254,1591,2,1,211,25392,249,25997,1,0,0,185,129,326,0,1068,27783,26715,0,0,12,11,1350,1351,1351,1,1,1,1,1458,1458,196,1566,43359,11,1,1,1,1,1,1,2221,77,51745,51747,21853,51753,51754,43,5434,61203,61210,61213,6741,61212,18473,1,0,0,1,2387,14,4,4,306,20,32,,,,,,,,,,,,,,,,,,,,
Asunción,3337000,macrotrends,11/16/2020,17404,6,4,0,0,1,12,10,12,12,2,2,0,0,12,73,5,2,12,2,0,0,0,4,0,0,0,0,0,0,0,34,0,71,35,0,0,580,580,385,0,0,0,206,6,0,0,362,362,1,1,1,1,1,0,21,15,156,124,124,125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,51,51,66,56,56,44,21,362,717,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,4,524,6,527,0,0,134,1,154,20,134,129,33,33,2,2,4,2,11,209,209,209,210,210,54,11,11,73,0,0,0,0,0,0,0,0,3,0,226,0,0,582,1,4,56,56,56,783,217,0,9,215,3,215,0,0,0,0,267,11,215,37,639,0,0,0,0,0,58,33,33,209,209,42,205,240,6,6,6,6,6,6,6,3,225,1,1,136,0,0,0,0,0,0,3,3,0,0,9,0,0,0,52,291,291,291,60,23,663,64,0,5,7,0,0,0,0,0,13,13,17,23,23,23,1,0,0,0,0,15,0,33,0,0,0,2,0,7,0,22,158,136,2,2,0,0,3,3,3,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,6,0,239,239,21,239,239,0,54,257,257,257,14,257,12,0,0,0,0,6,32,0,0,7,0,2,239,0,54,257,257,257,14,257,12,0,0,0,0,6,32,0,0,7,0,2
Atlanta,523000,World Population Review,11/14/2020,388048,103,110,5,0,0,67,36,85,85,31,49,0,0,85,341,105,65,85,49,0,0,8,93,8,8,34,8,8,8,8,72,1,338,151,3,3,14970,14971,10892,1,0,0,1758,108,4,0,7883,7883,0,0,0,0,0,0,81,76,1984,1626,1623,1629,21,0,0,0,0,0,0,0,0,0,0,2,2,1,0,5,5,5,5,5,5,5,3,3,3,30,3,3,3,0,29,29,32,29,22,149,1,0,194,194,220,201,201,171,1316,"7,891","14,955",85,3,0,0,0,0,0,0,0,3,3,3,3,3,3,3,248,0,105,11558,0,11742,0,0,1672,6,1793,119,1672,1648,12325,12982,22,75,129,75,18,1849,1860,"1,860",1860,1860,198,18,18,227,0,0,0,0,0,0,0,0,31,4,7485,0,0,"15,000",99,136,"3,288","3,288","3,288","18,450","7,278",1,343,"2,045",109,"2,046",74,0,0,0,"7,709",17,"2,040",408,"15,613",0,0,0,0,0,"1,086","12,235","12,876","1,933","1,933",605,1722,2430,159,159,159,159,159,159,159,138,2107,0,0,1680,0,0,0,0,0,2,144,161,13,41,54,0,24,9,521,9344,9344,9344,1865,1457,17079,156,0,11,441,0,3,203,0,0,230,230,353,392,392,392,43,150,1,0,12,4100,5,12900,0,0,0,80,0,441,0,150,1817,1667,22,22,0,3,138,138,138,0,0,0,0,142,142,12,148,2066,3,0,0,0,0,0,0,160,7,2348,2349,529,2349,2349,2,197,3085,3084,3084,319,3084,387,0,0,0,0,175,18,0,0,33,0,2,,,,,,,,,,,,,,,,,,,,
Baku,2340000,World Population Review,11/16/2020,13781,5,0,0,0,0,4,1,7,7,3,6,0,0,7,14,6,6,7,6,0,0,0,0,0,0,0,0,0,0,0,8,0,14,6,0,0,499,499,174,0,0,0,90,5,0,0,193,193,0,0,0,0,0,0,3,3,236,43,43,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,3,9,0,0,9,9,12,9,9,9,11,194,341,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,215,0,219,0,0,44,0,55,10,44,43,279,279,0,0,0,0,3,100,101,101,101,101,9,3,3,15,0,0,0,0,0,0,0,0,265,0,344,0,0,502,2,0,286,286,286,631,338,0,20,109,7,109,1,0,0,0,108,3,112,19,526,0,0,0,0,0,138,279,279,105,105,40,89,126,0,0,0,0,0,0,0,2,114,0,0,45,0,0,0,0,0,0,3,12,0,1,1,0,1,0,27,383,383,383,37,18,544,89,0,2,4,0,0,2,0,0,15,15,19,26,26,26,0,1,0,0,0,276,0,279,0,0,0,2,0,4,0,10,55,45,0,0,0,0,2,2,2,0,0,0,0,1,1,0,1,112,0,0,0,0,0,0,0,0,0,120,120,27,120,120,0,9,147,147,147,17,147,19,0,0,0,0,0,31,0,0,1,0,15,120,0,9,147,147,147,17,147,19,0,0,0,0,0,31,0,0,1,0,15
Balashikha,514000,World Population Review,11/14/2020,21237,45,9,1,0,0,13,9,13,13,5,4,0,0,13,35,6,5,13,4,0,0,0,9,0,0,1,0,0,0,0,12,0,34,16,0,0,549,549,774,0,0,0,275,48,1,0,603,603,0,0,0,0,0,0,4,2,118,67,65,67,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,4,0,0,0,0,4,4,4,4,4,6,0,0,22,22,28,23,23,19,69,599,854,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,11,411,0,423,0,0,70,0,75,6,68,65,4,4,1,7,11,7,1,292,292,292,292,292,22,1,1,29,0,0,0,0,0,0,0,0,0,0,279,0,0,542,7,11,128,128,128,991,275,0,35,311,11,311,14,0,0,0,447,1,311,29,575,0,0,0,0,0,357,3,3,302,302,80,282,352,12,12,12,12,12,12,12,25,321,0,0,70,0,0,0,0,0,0,159,19,0,7,1,0,0,0,36,336,336,336,55,26,602,39,0,0,36,0,0,12,0,0,26,26,39,39,39,39,0,7,0,0,0,3,0,3,0,0,0,36,0,45,0,8,78,70,0,0,0,0,25,25,25,0,0,0,0,7,7,0,7,319,0,0,0,0,0,0,0,12,0,348,348,50,348,348,4,22,388,388,388,33,388,37,0,0,0,0,11,90,0,0,9,0,11,,,,,,,,,,,,,,,,,,,,
Baltimore,590000,World Population Review,11/14/2020,30881,4,4,0,0,0,13,5,13,13,8,8,0,0,13,5,2,9,13,8,0,0,1,4,1,1,3,1,1,1,1,7,0,4,3,0,0,1346,1345,436,0,0,0,191,4,0,0,700,700,0,0,0,0,0,0,5,1,98,68,68,70,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,2,8,33,0,0,4,4,10,5,5,3,80,703,892,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,15,604,0,605,0,0,72,2,83,13,72,71,266,267,0,4,4,4,0,201,201,201,201,201,4,0,0,10,0,0,0,0,0,0,0,0,12,0,1166,0,0,"1,363",1,5,753,753,753,"1,654","1,155",0,62,247,10,246,0,0,0,0,241,0,243,25,"1,399",0,0,0,0,0,360,264,265,239,239,94,226,250,5,5,5,5,5,5,5,12,247,0,0,70,0,0,0,0,0,0,55,16,0,2,4,0,11,0,38,1216,1216,1216,46,21,1425,13,0,0,2,0,0,6,0,0,6,6,8,9,9,9,12,6,0,0,0,159,1,270,0,0,0,1,0,2,0,16,85,69,2,2,0,0,12,12,12,0,0,0,0,6,6,0,6,241,0,0,0,0,0,0,0,5,0,250,250,21,250,250,0,4,274,274,275,8,275,17,0,0,0,0,5,3,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
