vulnerability,capture_date,totalcount,exploit_source,exploit_type,exploit_platform,exploit_vendor,exploit_attack,vulnerable_cities,vulnerable_services,cvss_source,cvss3_basescore,cvss3_severity,cvss3_impactscore,cvss3_exploitabilityscore,cvss3_attackvector,cvss3_attackcomplexity,cvss3_privilegesrequired,cvss3_userinteraction,cvss3_scope,cvss3_confidentiality ,cvss3_integrity,cvss3_availability,cvss2_basescore,cvss2_severity,cvss2_impactscore,cvss2_exploitabilityscore,cvss2_attackvector,cvss2_attackcomplexity,cvss2_authentication,cvss2_confidentiality ,cvss2_integrity,cvss2_availability
CVE-2017-1000369,10/22/2020,82562,"NVD,CVE,SecurityFocus",local,Exim,Exim,"Arbitrary Code Execution, Privilege Escalation","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,4,MEDIUM,1.4,2.5,Local,Low,None,None,Unchanged,None,Low,None,2.1,LOW,2.9,3.9,Local,Low,None,None,Partial,None
CVE-2017-1000600,10/22/2020,50424,"NVD,SecurityFocus","remote,webapps",Wordpress,Wordpress,Code Execution,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,High,High,High,6.5,MEDIUM,6.4,8,Network,Low,Single,Partial,Partial,Partial
CVE-2017-1001000,10/22/2020,1957,"NVD,CVE","remote,webapps",Wordpress,Wordpress,Write Arbitrary Files,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,High,None,5,MEDIUM,2.9,10,Network,Low,None,None,Partial,None
CVE-2017-10140,10/22/2020,234,"NVD,CVE",local,Postfix,Postfix,Privilege Escalation,Singapore,"Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.8,HIGH,5.9,1.8,Local,Low,Low,None,Unchanged,High,High,High,4.6,MEDIUM,6.4,3.9,Local,Low,None,Partial,Partial,Partial
CVE-2017-10391,10/22/2020,531,"NVD,SecurityFocus",remote,Oracle Glassfish Server,Oracle,Unauthorised Access,"London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.3,HIGH,3.4,3.9,Network,Low,None,None,Unchanged,Low,Low,Low,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-11142,10/22/2020,106318,NetApp,"remote,dos,webapps",PHP,php,"Denial of Service,Arbitrary Code Execution,Information Disclosure,Buffer Overflow","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,7.8,HIGH,6.9,10,Network,Low,None,None,None,Complete
CVE-2017-11143,10/22/2020,52168,NetApp,"remote,dos,webapps",PHP,php,"Denial of Service,Arbitrary Code Execution,Information Disclosure,Buffer Overflow","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2017-11144,10/22/2020,148616,NetApp,"remote,dos,webapps",PHP,php,"Denial of Service,Arbitrary Code Execution,Information Disclosure,Buffer Overflow","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2017-11145,10/22/2020,148615,NetApp,"remote,dos,webapps",PHP,php,"Denial of Service,Arbitrary Code Execution,Information Disclosure,Buffer Overflow","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,High,None,None,5,MEDIUM,2.9,10,Network,Low,None,Partial,None,None
CVE-2017-11147,10/22/2020,46026,NetApp,"remote,dos,webapps",PHP,php,"Denial of Service,Arbitrary Code Execution,Information Disclosure,Buffer Overflow","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.1,CRITICAL,5.2,3.9,Network,Low,None,None,Unchanged,High,None,High,6.4,MEDIUM,4.9,10,Network,Low,None,Partial,None,Partial
CVE-2017-11362,10/22/2020,96449,NetApp,"remote,dos,webapps",PHP,php,"Denial of Service,Arbitrary Code Execution,Information Disclosure,Buffer Overflow","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-11364,10/22/2020,237,CVE,"remote,webapps",Joomla!,Joomla,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,High,High,High,6.5,MEDIUM,6.4,8,Network,Low,Single,Partial,Partial,Partial
CVE-2017-11612,10/22/2020,237,CVE,"remote,webapps",Joomla!,Joomla,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-11628,10/22/2020,148618,"CVE,SecurityFocus","remote,dos,webapps",PHP,php,"Denial of Service,Code Execution","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.8,HIGH,5.9,1.8,Local,Low,None,Required,Unchanged,High,High,High,6.8,MEDIUM,6.4,8.6,Network,Medium,None,Partial,Partial,Partial
CVE-2017-12172,10/22/2020,392396,"CVE,SecurityFocus",local,PostgreSQL,Postgresql,Privilege Escalation,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.7,MEDIUM,5.9,0.8,Local,Low,High,None,Unchanged,High,High,High,7.2,HIGH,10,3.9,Local,Low,None,Complete,Complete,Complete
CVE-2017-12868,10/22/2020,179569,"CVE,SimpleSAMLphp","remote,webapps","PHP,SimpleSAMLphp ",SimpleSAMLphp,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-12932,10/22/2020,114966,SecurityFocus,"remote,webapps",PHP,php,Buffer Overflow,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Insufficient_info,None,Partial,Partial,Partial
CVE-2017-12933,10/22/2020,148618,SecurityFocus,"remote,webapps",PHP,php,Buffer Overflow,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Insufficient_info,None,Partial,Partial,Partial
