vulnerability,capture_date,totalcount,exploit_source,exploit_type,exploit_platform,exploit_vendor,exploit_attack,cwe,cpe,vulnerable_cities,vulnerable_services,cvss_source,cvss3_basescore,cvss3_severity,cvss3_impactscore,cvss3_exploitabilityscore,cvss3_attackvector,cvss3_attackcomplexity,cvss3_privilegesrequired,cvss3_userinteraction,cvss3_scope,cvss3_confidentiality ,cvss3_integrity,cvss3_availability,cvss2_basescore,cvss2_severity,cvss2_impactscore,cvss2_exploitabilityscore,cvss2_attackvector,cvss2_attackcomplexity,cvss2_authentication,cvss2_confidentiality ,cvss2_integrity,cvss2_availability
CVE-2017-1000369,11/14/2020,82310,"NVD,CVE,SecurityFocus",local,Exim,Exim,"Arbitrary Code Execution, Privilege Escalation",404,cpe:2.3:a:exim:exim:*:*:*:*:*:*:*:*cpe:2.3:a:exim:exim:4.88:-:*:*:*:*:*:*cpe:2.3:a:exim:exim:4.88:rc1:*:*:*:*:*:*cpe:2.3:a:exim:exim:4.88:rc2:*:*:*:*:*:*cpe:2.3:a:exim:exim:4.88:rc3:*:*:*:*:*:*cpe:2.3:a:exim:exim:4.88:rc4:*:*:*:*:*:*cpe:2.3:a:exim:exim:4.88:rc5:*:*:*:*:*:*cpe:2.3:a:exim:exim:4.88:rc6:*:*:*:*:*:*cpe:2.3:a:exim:exim:4.89:-:*:*:*:*:*:*cpe:2.3:a:exim:exim:4.89:rc1:*:*:*:*:*:*cpe:2.3:a:exim:exim:4.89:rc2:*:*:*:*:*:*cpe:2.3:a:exim:exim:4.89:rc3:*:*:*:*:*:*cpe:2.3:a:exim:exim:4.89:rc4:*:*:*:*:*:*cpe:2.3:a:exim:exim:4.89:rc5:*:*:*:*:*:*cpe:2.3:a:exim:exim:4.89:rc6:*:*:*:*:*:*cpe:2.3:a:exim:exim:4.89:rc7:*:*:*:*:*:*cpe:2.3:o:debian:debian_linux:8.0:*:*:*:*:*:*:*cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal",Exim smtpd,NVD,4,MEDIUM,1.4,2.5,Local,Low,None,None,Unchanged,None,Low,None,2.1,LOW,2.9,3.9,Local,Low,None,None,Partial,None
CVE-2017-1000600,11/14/2020,53499,"NVD,SecurityFocus","remote,webapps",Wordpress,Wordpress,Code Execution,20,cpe:2.3:a:wordpress:wordpress,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache httpd,nginx,lighttpd,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,High,High,High,6.5,MEDIUM,6.4,8,Network,Low,Single,Partial,Partial,Partial
CVE-2017-1001000,11/14/2020,2190,"NVD,CVE","remote,webapps",Wordpress,Wordpress,Write Arbitrary Files,noinfo,cpe:2.3:a:wordpress:wordpress:4.7:*:*:*:*:*:*:*cpe:2.3:a:wordpress:wordpress:4.7.1:*:*:*:*:*:*:*cpe:2.3:a:wordpress:wordpress:4.7.2:*:*:*:*:*:*:*,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache httpd,nginx,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,High,None,5,MEDIUM,2.9,10,Network,Low,None,None,Partial,None
CVE-2017-10140,11/14/2020,218,"NVD,CVE",local,Postfix,Postfix,Privilege Escalation,264,cpe:2.3:a:postfix:postfixcpe:2.3:a:postfix:postfixcpe:2.3:a:postfix:postfixcpe:2.3:a:postfix:postfix,"Singapore,Paris",,NVD,7.8,HIGH,5.9,1.8,Local,Low,Low,None,Unchanged,High,High,High,4.6,MEDIUM,6.4,3.9,Local,Low,None,Partial,Partial,Partial
CVE-2017-10391,11/14/2020,513,"NVD,SecurityFocus",remote,Oracle Glassfish Server,Oracle,Unauthorised Access,noinfo,cpe:2.3:a:oracle:glassfish_server:3.0.1:*:*:*:*:*:*:*cpe:2.3:a:oracle:glassfish_server:3.1.2:*:*:*:*:*:*:*,"London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris",,NVD,7.3,HIGH,3.4,3.9,Network,Low,None,None,Unchanged,Low,Low,Low,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-11142,11/14/2020,104246,NetApp,"remote,dos,webapps",PHP,php,"Denial of Service,Arbitrary Code Execution,Information Disclosure,Buffer Overflow",400,cpe:2.3:a:php:php:*:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.0:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.1:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.2:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.3:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.4:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.5:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.6:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.7:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.8:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.9:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.10:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.11:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.12:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.13:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.14:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.15:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.16:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.1.0:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.1.1:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.1.2:*:*:*:*:*:*:*,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache httpd,nginx,lighttpd,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,7.8,HIGH,6.9,10,Network,Low,None,None,None,Complete
CVE-2017-11143,11/14/2020,51028,NetApp,"remote,dos,webapps",PHP,php,"Denial of Service,Arbitrary Code Execution,Information Disclosure,Buffer Overflow","502,416",cpe:2.3:a:php:php:*:*:*:*:*:*:*:*,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache httpd,nginx,lighttpd,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2017-11144,11/14/2020,141025,NetApp,"remote,dos,webapps",PHP,php,"Denial of Service,Arbitrary Code Execution,Information Disclosure,Buffer Overflow",754,"cpe:2.3:a:php:php:*:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.0:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.1:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.2:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.3:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.4:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.5:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.6:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.7:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.8:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.9:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.10:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.11:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.12:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.13:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.14:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.15:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.16:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.17:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.18:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.19:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.0.20:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.1.0:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.1.1:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.1.2:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.1.3:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.1.4:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.1.5:*:*:*:*:*:*:*cpe:2.3:a:php:php:7.1.6:*:*:*:*:*:*:*
","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache httpd,nginx,lighttpd,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2017-11145,11/14/2020,141025,NetApp,"remote,dos,webapps",PHP,php,"Denial of Service,Arbitrary Code Execution,Information Disclosure,Buffer Overflow",200,"cpe:2.3:a:php:php:*:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.0:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.1:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.2:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.3:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.4:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.5:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.6:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.7:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.8:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.9:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.10:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.11:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.12:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.13:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.14:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.15:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.16:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.17:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.18:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.19:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.20:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.1.0:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.1.1:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.1.2:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.1.3:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.1.4:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.1.5:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.1.6:*:*:*:*:*:*:*","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache httpd,nginx,lighttpd,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,High,None,None,5,MEDIUM,2.9,10,Network,Low,None,Partial,None,None
CVE-2017-11147,11/14/2020,45308,NetApp,"remote,dos,webapps",PHP,php,"Denial of Service,Arbitrary Code Execution,Information Disclosure,Buffer Overflow",125,"cpe:2.3:a:php:php:*:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.0:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.1:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.2:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.3:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.4:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.5:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.6:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.7:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.8:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.9:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.10:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.11:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.12:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.13:*:*:*:*:*:*:*,cpe:2.3:a:php:php:7.0.14:*:*:*:*:*:*:*","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache httpd,nginx,lighttpd,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.1,CRITICAL,5.2,3.9,Network,Low,None,None,Unchanged,High,None,High,6.4,MEDIUM,4.9,10,Network,Low,None,Partial,None,Partial
