,country,income_group,population_2020,overall_performance,factor_knowledge,factor_technology,factor_future_readiness,subfact_know_talent,subfact_know_training_education,subfact_know_scientific_concentration,subfact_tech_regulatory_framework,subfact_tech_capital,subfact_tech_technological_framework,subfact_fr_adaptive_attitudes,subfact_fr_business_agility,subfact_fr_it_integration,gini_value,totalcount,avg,vulnper1k,exposureperperson
0,Afghanistan,Low,38928000.0,,,,,,,,,,,,,,,4126,7.66047018904508,0.10599054665022606,0.0008119374229346487
1,Aland Islands,,29013.0,,,,,,,,,,,,,,,37687,7.17954641909814,1298.9694274980181,9.329228276979283
2,Albania,Upper middle,2878000.0,,,,,,,,,,,,,,33.2,23814,7.920738004281938,8.27449617790132,0.06555938151494095
3,Algeria,Lower middle,43851000.0,,,,,,,,,,,,,,27.6,17428,7.736923341748908,0.3974367745319377,0.0030749378577455467
4,American Samoa,Upper middle,55000.0,,,,,,,,,,,,,,,551,7.49092558983666,10.018181818181818,0.07504545454545454
5,Andorra,High,77000.0,,,,,,,,,,,,,,,24040,7.783913495529215,312.2077922077922,2.430703896103896
6,Angola,Lower middle,32866000.0,,,,,,,,,,,,,,51.3,13366,7.416599371915655,0.406681677113126,0.003018000365118967
7,Anguilla,,15000.0,,,,,,,,,,,,,,,3550,7.333305180180178,236.66666666666666,1.736526666666666
8,Antigua and Barbuda,High,98000.0,,,,,,,,,,,,,,,487699,7.606624993080602,4976.5204081632655,37.859181632653076
9,Argentina,Upper middle,45196000.0,59.0,50.0,62.0,47.0,56.0,43.0,55.0,57.0,62.0,56.0,49.0,39.0,52.0,41.4,415357,7.946288373615951,9.19012744490663,0.07302740286751042
10,Armenia,Upper middle,2963000.0,,,,,,,,,,,,,,34.4,308472,7.071579752563021,104.10799865001688,0.7363297333783331
11,Aruba,High,107000.0,,,,,,,,,,,,,,,1243204,7.357939091234458,11618.728971962617,85.49890841121491
12,Australia,High,25500000.0,15.0,17.0,14.0,17.0,6.0,28.0,19.0,6.0,13.0,20.0,5.0,43.0,12.0,34.4,1128595,7.529559319330674,44.25862745098039,0.3332479607843138
